"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
1985,2714.04,4465.73,7672.27,12328.93,15158.24,18596.33,"Big.Salmon","Big.Salmon"
1986,3539.18,5349.08,7993.76,17406.69,20598.88,24439.57,"Big.Salmon","Big.Salmon"
1987,2607.47,4092.82,6760.25,10289.78,12541.72,15161.8,"Big.Salmon","Big.Salmon"
1988,2417.16,4256.95,7903.45,11769.66,14344.5,17731.2,"Big.Salmon","Big.Salmon"
1989,4554.79,6748.52,9843.49,25055.76,29462.33,34588.21,"Big.Salmon","Big.Salmon"
1990,3305.38,7862.3,14630.26,10376.63,13194.18,16545.79,"Big.Salmon","Big.Salmon"
1991,4659.9,6693.76,9534.3,24499.12,28876.33,34073.2,"Big.Salmon","Big.Salmon"
1992,2023.67,3391.16,7032.01,6938.75,8904.65,11324.48,"Big.Salmon","Big.Salmon"
1993,3551.25,5325.18,7912.37,11466.56,13752.35,16521.03,"Big.Salmon","Big.Salmon"
1994,3279.38,5658.24,9772.66,6885.57,8472.11,10447.73,"Big.Salmon","Big.Salmon"
1995,5169.5,7954.53,11799.88,8863.56,10885.52,13387.82,"Big.Salmon","Big.Salmon"
1996,4870.33,7535.74,11318.7,10410.85,13232.17,16875.29,"Big.Salmon","Big.Salmon"
1997,5632.65,8391.25,12244.84,13102.77,15919.3,19354.32,"Big.Salmon","Big.Salmon"
1998,2760.99,4501.88,7115.35,11772.96,14163.49,17232.27,"Big.Salmon","Big.Salmon"
1999,2641.32,4144.17,6608.68,8222.67,9630.12,11272.97,"Big.Salmon","Big.Salmon"
2000,2522.05,3913.36,6148.82,8926.74,10266.47,11719.7,"Big.Salmon","Big.Salmon"
2001,4767.25,6973.62,9905.55,12818.78,14247.33,15759.26,"Big.Salmon","Big.Salmon"
2002,4059.76,7778.67,13290.27,4557.18,5366.17,6293.25,"Big.Salmon","Big.Salmon"
2003,5399.03,7725.12,10904.63,8950.11,9891.86,10878,"Big.Salmon","Big.Salmon"
2004,3320.67,5164.5,8207.09,6457.69,7329.47,8287.54,"Big.Salmon","Big.Salmon"
2005,5287.79,5626.81,5987.71,8073.68,8934.57,9834.38,"Big.Salmon","Big.Salmon"
2006,6813.66,7261,7739.87,5150.83,5757.46,6404.01,"Big.Salmon","Big.Salmon"
2007,4202.19,4482.07,4774.88,4323.54,4796.74,5325.31,"Big.Salmon","Big.Salmon"
2008,1268.21,1353.55,1443.08,3782.64,4316.98,4865.8,"Big.Salmon","Big.Salmon"
2009,8534.17,9093.51,9689.82,8332.1,9206.23,10146.03,"Big.Salmon","Big.Salmon"
2010,3572.44,3811.26,4061.82,5641.15,6442.93,7304.4,"Big.Salmon","Big.Salmon"
2011,4826.94,5144.9,5483.51,9397.81,10301.43,11265.95,"Big.Salmon","Big.Salmon"
2012,2449.58,2607.51,2781.35,7113.01,7908.17,8751.12,"Big.Salmon","Big.Salmon"
2013,3056.75,3250.66,3466.25,6216.25,6966.25,7749.14,"Big.Salmon","Big.Salmon"
2014,5895.32,6275.35,6678.38,5252.32,5873.07,6556.36,"Big.Salmon","Big.Salmon"
2015,9358.7,9961.93,10601.88,2572.61,2901.65,3263.73,"Big.Salmon","Big.Salmon"
2016,6343.17,6762.44,7215.23,2070.2,2288.33,2515.94,"Big.Salmon","Big.Salmon"
2017,5300.94,5653.48,6030.92,1562.19,1756.98,1955.45,"Big.Salmon","Big.Salmon"
2018,4826.35,5141.25,5485.18,1880.05,2121.4,2443.01,"Big.Salmon","Big.Salmon"
2019,3614.65,3847.64,4107.09,1745.99,2373.81,3425.49,"Big.Salmon","Big.Salmon"
2020,1544.33,1646.16,1754.76,1112.25,1900.25,3420.48,"Big.Salmon","Big.Salmon"
2021,1849.61,1972.75,2099.11,NA,NA,NA,"Big.Salmon","Big.Salmon"
2022,1855.38,1977.44,2102.8,NA,NA,NA,"Big.Salmon","Big.Salmon"
2023,1687.35,1798.95,1915.73,NA,NA,NA,"Big.Salmon","Big.Salmon"
2024,1783.3,1902.92,2025.08,NA,NA,NA,"Big.Salmon","Big.Salmon"
1985,7348.15,9173.36,11464.21,27216.02,32963.71,39282.01,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1986,8674.48,10810.49,13423.64,40063.61,46175.53,52829.09,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1987,7816.27,9825.05,12324.82,22521.58,26935.86,31876.66,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1988,5670.58,7905.83,11243.99,25527.55,30318.91,35896.56,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1989,13478.06,17265.42,22108.15,59413.55,67985.2,77481.88,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
