stock,Year,Total run,Escapement,Harvest,Harvest rate (%),Harvest.CV
Canadian,1981,191441.1361,101988.2482,89452.88785,47.0955053,0.140912364
Canadian,1982,163126.7726,35797.85962,127328.913,77.92694388,0.131097544
Canadian,1983,180423.6083,54105.40476,126318.2036,69.88357894,0.134475578
Canadian,1984,136876.6415,66622.48468,70254.15684,51.70752233,0.127990569
Canadian,1985,155801.2686,38499.91752,117301.3511,75.13903632,0.140912364
Canadian,1986,174715.5415,48829.58541,125885.9561,71.95571103,0.131097544
Canadian,1987,175388.3084,33390.99225,141997.3161,80.82310319,0.134475578
Canadian,1988,158531.4631,48341.73168,110189.7314,69.48132538,0.127990569
Canadian,1989,164433.093,59126.18507,105306.908,64.00953753,0.128515546
Canadian,1990,176506.3666,84074.96686,92431.39975,52.43849003,0.135257381
Canadian,1991,140506.6204,50603.21262,89903.40775,63.92492012,0.128439122
Canadian,1992,180185.5854,45712.47737,134473.108,74.58552421,0.143929542
Canadian,1993,156339.4315,54321.80378,102017.6277,65.20401275,0.136226665
Canadian,1994,192126.8441,63114.89942,129011.9447,67.05301521,0.130780246
Canadian,1995,212925.6885,68170.01095,144755.6776,67.88289603,0.139701013
Canadian,1996,193170.1652,75209.18356,117960.9817,61.08064152,0.130230535
Canadian,1997,197678.3482,82654.26239,115024.0858,58.09271544,0.142866215
Canadian,1998,97062.357,34893.91583,62168.44117,63.94592255,0.142760007
Canadian,1999,123914.5497,46747.19156,77167.35816,62.25487591,0.130481325
Canadian,2000,53448.30805,20755.73452,32692.57354,61.25889882,0.136242213
Canadian,2001,102483.2208,67288.33556,35194.8852,34.68871168,0.143071125
Canadian,2002,93835.49722,48511.44601,45324.05121,48.33827136,0.128987366
Canadian,2003,172331.81,94101.95408,78229.85597,45.33454668,0.123107603
Canadian,2004,127212.2806,55553.93013,71658.35044,56.21098907,0.128508529
Canadian,2005,131797.8379,69262.91093,62534.92696,47.28531088,0.117971239
Canadian,2006,126097.1919,64344.37896,61752.81295,48.80541087,0.129842566
Canadian,2007,92830.42114,36283.11527,56547.30587,60.69757348,0.131906287
Canadian,2008,69760.27469,33939.53881,35820.73588,51.12882943,0.125255227
Canadian,2009,86682.99329,64953.68965,21729.30364,25.00417205,0.126748405
Canadian,2010,62821.65372,32180.3703,30641.28342,48.53947509,0.137307023
Canadian,2011,70728.51317,46988.3894,23740.12376,33.46121267,0.125075681
Canadian,2012,51622.16324,32300.39094,19321.7723,37.25185248,0.13842444
Canadian,2013,39672.94512,28506.92813,11166.01699,28.02694102,0.156086008
Canadian,2014,65108.61481,63366.29238,1742.32243,2.674181366,0.169597727
Canadian,2015,88361.80095,82699.67314,5662.127809,6.403022888,0.128993897
Canadian,2016,83745.14756,69170.8703,14574.27725,17.36285498,0.133122712
Canadian,2017,99897.81843,69393.97812,30503.84031,30.39486313,0.158203776
Canadian,2018,76806.5913,54603.70963,22202.88167,28.80346661,0.132341508
Canadian,2019,85420.97445,42149.25995,43271.7145,50.45561609,0.128571558
Canadian,2020,52147.54144,30630.11311,21517.42834,41.03297533,0.155626621
Canadian,2021,33249.66303,31512.09608,1737.566957,5.221624172,0.126471837
Canadian,2022,13335.9914,12003.66293,1332.32847,9.973654974,0.143508469
Canadian,2023,15826.03357,14579.93101,1246.102564,7.862083954,0.141114649
Canadian,2024,25385.46345,24176.37722,1209.086235,4.757702392,0.141114649
Canadian,2025,24890.53814,23867.85524,1022.682901,4.103747418,0.141114649
