"","year","gear","julian","fish","CU_no","CU","prob"
"94",1985,"Fish Wheel",205,12,73,"MidYR",0
"95",1985,"Fish Wheel",205,12,68,"Teslin",1e-04
"96",1985,"Fish Wheel",205,12,69,"UpperYR",1e-04
"97",1985,"Fish Wheel",206,13,76,"NYR",0
"98",1985,"Fish Wheel",206,13,75,"White",6e-04
"99",1985,"Fish Wheel",206,13,74,"Stew",0.1226
"100",1985,"Fish Wheel",206,13,72,"Pelly",1e-04
"101",1985,"Fish Wheel",206,13,71,"Norden",0
"102",1985,"Fish Wheel",206,13,73,"MidYR",0.0439
"103",1985,"Fish Wheel",206,13,68,"Teslin",0.8328
"104",1985,"Fish Wheel",206,13,69,"UpperYR",0
"105",1985,"Fish Wheel",206,14,76,"NYR",0
"106",1985,"Fish Wheel",206,14,75,"White",0.0169
"107",1985,"Fish Wheel",206,14,74,"Stew",0.9275
"108",1985,"Fish Wheel",206,14,72,"Pelly",4e-04
"109",1985,"Fish Wheel",206,14,71,"Norden",0
"110",1985,"Fish Wheel",206,14,73,"MidYR",0.0235
"111",1985,"Fish Wheel",206,14,68,"Teslin",0.0309
"112",1985,"Fish Wheel",206,14,69,"UpperYR",0
"113",1985,"Fish Wheel",206,15,76,"NYR",0
"114",1985,"Fish Wheel",206,15,75,"White",0
"115",1985,"Fish Wheel",206,15,74,"Stew",0
"116",1985,"Fish Wheel",206,15,72,"Pelly",1e-04
"117",1985,"Fish Wheel",206,15,71,"Norden",0
"118",1985,"Fish Wheel",206,15,73,"MidYR",0.1512
"119",1985,"Fish Wheel",206,15,68,"Teslin",0.8487
"120",1985,"Fish Wheel",206,15,69,"UpperYR",0
"121",1985,"Fish Wheel",207,16,76,"NYR",0
"122",1985,"Fish Wheel",207,16,75,"White",0
"123",1985,"Fish Wheel",207,16,74,"Stew",9e-04
"124",1985,"Fish Wheel",207,16,72,"Pelly",4e-04
"125",1985,"Fish Wheel",207,16,71,"Norden",0
"126",1985,"Fish Wheel",207,16,73,"MidYR",0.4239
"127",1985,"Fish Wheel",207,16,68,"Teslin",0.5748
"128",1985,"Fish Wheel",207,16,69,"UpperYR",0
"129",1985,"Fish Wheel",207,17,76,"NYR",0.0381
"130",1985,"Fish Wheel",207,17,75,"White",0
"131",1985,"Fish Wheel",207,17,74,"Stew",0.0354
"132",1985,"Fish Wheel",207,17,72,"Pelly",0.6969
"133",1985,"Fish Wheel",207,17,71,"Norden",0
"134",1985,"Fish Wheel",207,17,73,"MidYR",0.1978
"135",1985,"Fish Wheel",207,17,68,"Teslin",0.0314
"136",1985,"Fish Wheel",207,17,69,"UpperYR",0
"137",1985,"Fish Wheel",207,18,76,"NYR",0
"138",1985,"Fish Wheel",207,18,75,"White",0
"139",1985,"Fish Wheel",207,18,74,"Stew",0.0019
"140",1985,"Fish Wheel",207,18,72,"Pelly",1e-04
"141",1985,"Fish Wheel",207,18,71,"Norden",0
"142",1985,"Fish Wheel",207,18,73,"MidYR",0.0416
"143",1985,"Fish Wheel",207,18,68,"Teslin",0.9564
"144",1985,"Fish Wheel",207,18,69,"UpperYR",0
"145",1985,"Fish Wheel",207,19,76,"NYR",0
"146",1985,"Fish Wheel",207,19,75,"White",0
"147",1985,"Fish Wheel",207,19,74,"Stew",0
"148",1985,"Fish Wheel",207,19,72,"Pelly",1e-04
"149",1985,"Fish Wheel",207,19,71,"Norden",0
"150",1985,"Fish Wheel",207,19,73,"MidYR",0.1143
"151",1985,"Fish Wheel",207,19,68,"Teslin",0.8856
"152",1985,"Fish Wheel",207,19,69,"UpperYR",0
"153",1985,"Fish Wheel",207,20,76,"NYR",1
"154",1985,"Fish Wheel",207,20,75,"White",0
"155",1985,"Fish Wheel",207,20,74,"Stew",0
"156",1985,"Fish Wheel",207,20,72,"Pelly",0
"157",1985,"Fish Wheel",207,20,71,"Norden",0
