year,gear,julian,fish,CU_no,CU,prob
1996,Fish Wheel,217,1275,75,White,0.3129
1996,Fish Wheel,217,1275,74,Stew,0
1996,Fish Wheel,217,1275,72,Pelly,0.0422
1996,Fish Wheel,217,1275,71,Norden,0
1996,Fish Wheel,217,1275,73,MidYR,0.2966
1996,Fish Wheel,217,1275,68,Teslin,0.3198
1996,Fish Wheel,217,1275,69,UpperYR,0.0122
1996,Fish Wheel,217,1307,76,NYR,0
1996,Fish Wheel,217,1307,75,White,0
1996,Fish Wheel,217,1307,74,Stew,0.0074
1996,Fish Wheel,217,1307,72,Pelly,0.0037
1996,Fish Wheel,217,1307,71,Norden,0
1996,Fish Wheel,217,1307,73,MidYR,0.2907
1996,Fish Wheel,217,1307,68,Teslin,0.6793
1996,Fish Wheel,217,1307,69,UpperYR,0.0182
1996,Fish Wheel,221,123,76,NYR,0
1996,Fish Wheel,221,123,75,White,0
1996,Fish Wheel,221,123,74,Stew,0
1996,Fish Wheel,221,123,72,Pelly,0
1996,Fish Wheel,221,123,71,Norden,0
1996,Fish Wheel,221,123,73,MidYR,0
1996,Fish Wheel,221,123,68,Teslin,0
1996,Fish Wheel,221,123,69,UpperYR,1
1996,Fish Wheel,221,229,76,NYR,2e-04
1996,Fish Wheel,221,229,75,White,0
1996,Fish Wheel,221,229,74,Stew,0.0037
1996,Fish Wheel,221,229,72,Pelly,0.2337
1996,Fish Wheel,221,229,71,Norden,0
1996,Fish Wheel,221,229,73,MidYR,0.7593
1996,Fish Wheel,221,229,68,Teslin,0.003
1996,Fish Wheel,221,229,69,UpperYR,0
1996,Fish Wheel,222,103,76,NYR,0
1996,Fish Wheel,222,103,75,White,0.9989
1996,Fish Wheel,222,103,74,Stew,0
1996,Fish Wheel,222,103,72,Pelly,0.0011
1996,Fish Wheel,222,103,71,Norden,0
1996,Fish Wheel,222,103,73,MidYR,0
1996,Fish Wheel,222,103,68,Teslin,0
1996,Fish Wheel,222,103,69,UpperYR,0
1996,Fish Wheel,223,104,76,NYR,0.0303
1996,Fish Wheel,223,104,75,White,0.0049
1996,Fish Wheel,223,104,74,Stew,0.0034
1996,Fish Wheel,223,104,72,Pelly,0
1996,Fish Wheel,223,104,71,Norden,0
1996,Fish Wheel,223,104,73,MidYR,0.8257
1996,Fish Wheel,223,104,68,Teslin,0.1336
1996,Fish Wheel,223,104,69,UpperYR,0
1996,Fish Wheel,226,124,76,NYR,0
1996,Fish Wheel,226,124,75,White,0
1996,Fish Wheel,226,124,74,Stew,1e-04
1996,Fish Wheel,226,124,72,Pelly,7e-04
1996,Fish Wheel,226,124,71,Norden,0
1996,Fish Wheel,226,124,73,MidYR,0.9916
1996,Fish Wheel,226,124,68,Teslin,0.0076
1996,Fish Wheel,226,124,69,UpperYR,0
1997,Fish Wheel,179,164,76,NYR,1
1997,Fish Wheel,179,164,75,White,0
1997,Fish Wheel,179,164,74,Stew,0
1997,Fish Wheel,179,164,72,Pelly,0
1997,Fish Wheel,179,164,71,Norden,0
1997,Fish Wheel,179,164,73,MidYR,0
1997,Fish Wheel,179,164,68,Teslin,0
1997,Fish Wheel,179,164,69,UpperYR,0
1997,Fish Wheel,179,848,76,NYR,0.8755
1997,Fish Wheel,179,848,75,White,0
1997,Fish Wheel,179,848,74,Stew,0
1997,Fish Wheel,179,848,72,Pelly,4e-04
1997,Fish Wheel,179,848,71,Norden,0
1997,Fish Wheel,179,848,73,MidYR,0.0906
1997,Fish Wheel,179,848,68,Teslin,0.0335
1997,Fish Wheel,179,848,69,UpperYR,0
1997,Fish Wheel,183,245,76,NYR,0
1997,Fish Wheel,183,245,75,White,4e-04
1997,Fish Wheel,183,245,74,Stew,0
1997,Fish Wheel,183,245,72,Pelly,3e-04
1997,Fish Wheel,183,245,71,Norden,0.8669
1997,Fish Wheel,183,245,73,MidYR,0.1288
1997,Fish Wheel,183,245,68,Teslin,0.0034
1997,Fish Wheel,183,245,69,UpperYR,0
1997,Fish Wheel,183,625,76,NYR,2e-04
1997,Fish Wheel,183,625,75,White,0.9968
1997,Fish Wheel,183,625,74,Stew,6e-04
1997,Fish Wheel,183,625,72,Pelly,0.002
1997,Fish Wheel,183,625,71,Norden,0
1997,Fish Wheel,183,625,73,MidYR,3e-04
1997,Fish Wheel,183,625,68,Teslin,0
1997,Fish Wheel,183,625,69,UpperYR,0
1997,Fish Wheel,184,119,76,NYR,0
1997,Fish Wheel,184,119,75,White,0
1997,Fish Wheel,184,119,74,Stew,2e-04
1997,Fish Wheel,184,119,72,Pelly,0
1997,Fish Wheel,184,119,71,Norden,0
1997,Fish Wheel,184,119,73,MidYR,0.0617
1997,Fish Wheel,184,119,68,Teslin,0.9381
1997,Fish Wheel,184,119,69,UpperYR,0
1997,Fish Wheel,190,120,76,NYR,0
1997,Fish Wheel,190,120,75,White,0.5294
1997,Fish Wheel,190,120,74,Stew,0.0427
1997,Fish Wheel,190,120,72,Pelly,0.4204
1997,Fish Wheel,190,120,71,Norden,7e-04
1997,Fish Wheel,190,120,73,MidYR,0.0058
1997,Fish Wheel,190,120,68,Teslin,0
1997,Fish Wheel,190,120,69,UpperYR,0
1997,Fish Wheel,190,131,76,NYR,0.9972
1997,Fish Wheel,190,131,75,White,0
1997,Fish Wheel,190,131,74,Stew,0.0013
1997,Fish Wheel,190,131,72,Pelly,4e-04
1997,Fish Wheel,190,131,71,Norden,0
1997,Fish Wheel,190,131,73,MidYR,0.001
1997,Fish Wheel,190,131,68,Teslin,1e-04
1997,Fish Wheel,190,131,69,UpperYR,0
1997,Fish Wheel,190,132,76,NYR,0
1997,Fish Wheel,190,132,75,White,0.9988
1997,Fish Wheel,190,132,74,Stew,7e-04
1997,Fish Wheel,190,132,72,Pelly,5e-04
1997,Fish Wheel,190,132,71,Norden,0
1997,Fish Wheel,190,132,73,MidYR,0
1997,Fish Wheel,190,132,68,Teslin,0
1997,Fish Wheel,190,132,69,UpperYR,0
1997,Fish Wheel,190,203,76,NYR,0
1997,Fish Wheel,190,203,75,White,0
1997,Fish Wheel,190,203,74,Stew,0
1997,Fish Wheel,190,203,72,Pelly,2e-04
1997,Fish Wheel,190,203,71,Norden,0
1997,Fish Wheel,190,203,73,MidYR,0.2171
1997,Fish Wheel,190,203,68,Teslin,0.7827
1997,Fish Wheel,190,203,69,UpperYR,0
1997,Fish Wheel,191,133,76,NYR,0
1997,Fish Wheel,191,133,75,White,6e-04
1997,Fish Wheel,191,133,74,Stew,3e-04
1997,Fish Wheel,191,133,72,Pelly,0.9934
1997,Fish Wheel,191,133,71,Norden,0
1997,Fish Wheel,191,133,73,MidYR,0.0054
1997,Fish Wheel,191,133,68,Teslin,3e-04
1997,Fish Wheel,191,133,69,UpperYR,0
1997,Fish Wheel,191,134,76,NYR,0.996
1997,Fish Wheel,191,134,75,White,0
1997,Fish Wheel,191,134,74,Stew,8e-04
1997,Fish Wheel,191,134,72,Pelly,0
1997,Fish Wheel,191,134,71,Norden,0
1997,Fish Wheel,191,134,73,MidYR,0.0032
1997,Fish Wheel,191,134,68,Teslin,0
1997,Fish Wheel,191,134,69,UpperYR,0
1997,Fish Wheel,191,242,76,NYR,0.9998
1997,Fish Wheel,191,242,75,White,0
1997,Fish Wheel,191,242,74,Stew,0
1997,Fish Wheel,191,242,72,Pelly,1e-04
1997,Fish Wheel,191,242,71,Norden,0
1997,Fish Wheel,191,242,73,MidYR,1e-04
1997,Fish Wheel,191,242,68,Teslin,0
1997,Fish Wheel,191,242,69,UpperYR,0
1997,Fish Wheel,191,270,76,NYR,0
1997,Fish Wheel,191,270,75,White,0.8369
1997,Fish Wheel,191,270,74,Stew,0.0022
1997,Fish Wheel,191,270,72,Pelly,0.1565
1997,Fish Wheel,191,270,71,Norden,0
1997,Fish Wheel,191,270,73,MidYR,0.004
1997,Fish Wheel,191,270,68,Teslin,4e-04
1997,Fish Wheel,191,270,69,UpperYR,0
1997,Fish Wheel,192,121,76,NYR,0
1997,Fish Wheel,192,121,75,White,0.0093
1997,Fish Wheel,192,121,74,Stew,0.1144
1997,Fish Wheel,192,121,72,Pelly,0.0051
1997,Fish Wheel,192,121,71,Norden,0
1997,Fish Wheel,192,121,73,MidYR,0.6098
1997,Fish Wheel,192,121,68,Teslin,0.2614
1997,Fish Wheel,192,121,69,UpperYR,0
1997,Fish Wheel,192,165,76,NYR,0.9965
1997,Fish Wheel,192,165,75,White,1e-04
1997,Fish Wheel,192,165,74,Stew,0.003
1997,Fish Wheel,192,165,72,Pelly,0
1997,Fish Wheel,192,165,71,Norden,0
1997,Fish Wheel,192,165,73,MidYR,2e-04
1997,Fish Wheel,192,165,68,Teslin,2e-04
1997,Fish Wheel,192,165,69,UpperYR,0
1997,Fish Wheel,192,221,76,NYR,0
1997,Fish Wheel,192,221,75,White,0.0604
1997,Fish Wheel,192,221,74,Stew,0.0079
1997,Fish Wheel,192,221,72,Pelly,0.8212
1997,Fish Wheel,192,221,71,Norden,0
1997,Fish Wheel,192,221,73,MidYR,0.1099
1997,Fish Wheel,192,221,68,Teslin,6e-04
1997,Fish Wheel,192,221,69,UpperYR,0
1997,Fish Wheel,192,228,76,NYR,0.9913
1997,Fish Wheel,192,228,75,White,0
1997,Fish Wheel,192,228,74,Stew,1e-04
1997,Fish Wheel,192,228,72,Pelly,0.0015
1997,Fish Wheel,192,228,71,Norden,0
1997,Fish Wheel,192,228,73,MidYR,0.0053
1997,Fish Wheel,192,228,68,Teslin,0.0018
1997,Fish Wheel,192,228,69,UpperYR,0
1997,Fish Wheel,192,241,76,NYR,1
1997,Fish Wheel,192,241,75,White,0
1997,Fish Wheel,192,241,74,Stew,0
1997,Fish Wheel,192,241,72,Pelly,0
1997,Fish Wheel,192,241,71,Norden,0
1997,Fish Wheel,192,241,73,MidYR,0
1997,Fish Wheel,192,241,68,Teslin,0
1997,Fish Wheel,192,241,69,UpperYR,0
1997,Fish Wheel,193,122,76,NYR,0.0014
1997,Fish Wheel,193,122,75,White,0
1997,Fish Wheel,193,122,74,Stew,0.0238
1997,Fish Wheel,193,122,72,Pelly,0.9624
1997,Fish Wheel,193,122,71,Norden,0
1997,Fish Wheel,193,122,73,MidYR,0.01
1997,Fish Wheel,193,122,68,Teslin,0.0024
1997,Fish Wheel,193,122,69,UpperYR,0
1997,Fish Wheel,193,123,76,NYR,1e-04
1997,Fish Wheel,193,123,75,White,4e-04
1997,Fish Wheel,193,123,74,Stew,0.0017
1997,Fish Wheel,193,123,72,Pelly,0.9965
1997,Fish Wheel,193,123,71,Norden,0
1997,Fish Wheel,193,123,73,MidYR,0.0012
1997,Fish Wheel,193,123,68,Teslin,0
1997,Fish Wheel,193,123,69,UpperYR,0
1997,Fish Wheel,193,124,76,NYR,1e-04
1997,Fish Wheel,193,124,75,White,0
1997,Fish Wheel,193,124,74,Stew,0.0527
1997,Fish Wheel,193,124,72,Pelly,0.0048
1997,Fish Wheel,193,124,71,Norden,0
1997,Fish Wheel,193,124,73,MidYR,0.9424
1997,Fish Wheel,193,124,68,Teslin,0
1997,Fish Wheel,193,124,69,UpperYR,0
1997,Fish Wheel,193,135,76,NYR,0
1997,Fish Wheel,193,135,75,White,0.0515
1997,Fish Wheel,193,135,74,Stew,8e-04
1997,Fish Wheel,193,135,72,Pelly,0.852
1997,Fish Wheel,193,135,71,Norden,0
1997,Fish Wheel,193,135,73,MidYR,0.0957
1997,Fish Wheel,193,135,68,Teslin,0
1997,Fish Wheel,193,135,69,UpperYR,0
1997,Fish Wheel,193,136,76,NYR,1
1997,Fish Wheel,193,136,75,White,0
1997,Fish Wheel,193,136,74,Stew,0
1997,Fish Wheel,193,136,72,Pelly,0
1997,Fish Wheel,193,136,71,Norden,0
1997,Fish Wheel,193,136,73,MidYR,0
1997,Fish Wheel,193,136,68,Teslin,0
1997,Fish Wheel,193,136,69,UpperYR,0
1997,Fish Wheel,193,137,76,NYR,1
1997,Fish Wheel,193,137,75,White,0
1997,Fish Wheel,193,137,74,Stew,0
1997,Fish Wheel,193,137,72,Pelly,0
1997,Fish Wheel,193,137,71,Norden,0
1997,Fish Wheel,193,137,73,MidYR,0
1997,Fish Wheel,193,137,68,Teslin,0
1997,Fish Wheel,193,137,69,UpperYR,0
1997,Fish Wheel,193,171,76,NYR,0
1997,Fish Wheel,193,171,75,White,0.5847
1997,Fish Wheel,193,171,74,Stew,0.0461
1997,Fish Wheel,193,171,72,Pelly,0.0515
1997,Fish Wheel,193,171,71,Norden,0
1997,Fish Wheel,193,171,73,MidYR,0.0605
1997,Fish Wheel,193,171,68,Teslin,0.2568
1997,Fish Wheel,193,171,69,UpperYR,0
1997,Fish Wheel,193,172,76,NYR,0
1997,Fish Wheel,193,172,75,White,0.9983
1997,Fish Wheel,193,172,74,Stew,5e-04
1997,Fish Wheel,193,172,72,Pelly,0.0012
1997,Fish Wheel,193,172,71,Norden,0
1997,Fish Wheel,193,172,73,MidYR,0
1997,Fish Wheel,193,172,68,Teslin,0
1997,Fish Wheel,193,172,69,UpperYR,0
1997,Fish Wheel,193,175,76,NYR,0.8991
1997,Fish Wheel,193,175,75,White,0
1997,Fish Wheel,193,175,74,Stew,0.0121
1997,Fish Wheel,193,175,72,Pelly,0.0067
1997,Fish Wheel,193,175,71,Norden,0
1997,Fish Wheel,193,175,73,MidYR,0.0798
1997,Fish Wheel,193,175,68,Teslin,0.0022
1997,Fish Wheel,193,175,69,UpperYR,0
1997,Fish Wheel,193,180,76,NYR,0
1997,Fish Wheel,193,180,75,White,3e-04
1997,Fish Wheel,193,180,74,Stew,0.0019
1997,Fish Wheel,193,180,72,Pelly,0.0037
1997,Fish Wheel,193,180,71,Norden,0
1997,Fish Wheel,193,180,73,MidYR,0.98
1997,Fish Wheel,193,180,68,Teslin,0.0141
1997,Fish Wheel,193,180,69,UpperYR,0
1997,Fish Wheel,193,202,76,NYR,3e-04
1997,Fish Wheel,193,202,75,White,0
1997,Fish Wheel,193,202,74,Stew,0.7114
1997,Fish Wheel,193,202,72,Pelly,0.2668
1997,Fish Wheel,193,202,71,Norden,0
1997,Fish Wheel,193,202,73,MidYR,0.0117
1997,Fish Wheel,193,202,68,Teslin,0.0098
1997,Fish Wheel,193,202,69,UpperYR,0
1997,Fish Wheel,193,212,76,NYR,0
1997,Fish Wheel,193,212,75,White,0
1997,Fish Wheel,193,212,74,Stew,0.001
1997,Fish Wheel,193,212,72,Pelly,0.0299
1997,Fish Wheel,193,212,71,Norden,0
1997,Fish Wheel,193,212,73,MidYR,0.9683
1997,Fish Wheel,193,212,68,Teslin,4e-04
1997,Fish Wheel,193,212,69,UpperYR,2e-04
1997,Fish Wheel,193,224,76,NYR,0
1997,Fish Wheel,193,224,75,White,0.985
1997,Fish Wheel,193,224,74,Stew,0.0014
1997,Fish Wheel,193,224,72,Pelly,0.0119
1997,Fish Wheel,193,224,71,Norden,0
1997,Fish Wheel,193,224,73,MidYR,0.001
1997,Fish Wheel,193,224,68,Teslin,4e-04
1997,Fish Wheel,193,224,69,UpperYR,0
1997,Fish Wheel,193,239,76,NYR,0
1997,Fish Wheel,193,239,75,White,0.014
1997,Fish Wheel,193,239,74,Stew,0.6413
1997,Fish Wheel,193,239,72,Pelly,0.2699
1997,Fish Wheel,193,239,71,Norden,0
1997,Fish Wheel,193,239,73,MidYR,0.0629
1997,Fish Wheel,193,239,68,Teslin,0.0081
1997,Fish Wheel,193,239,69,UpperYR,0
1997,Fish Wheel,194,125,76,NYR,0.9993
1997,Fish Wheel,194,125,75,White,0
1997,Fish Wheel,194,125,74,Stew,0
1997,Fish Wheel,194,125,72,Pelly,0
1997,Fish Wheel,194,125,71,Norden,0
1997,Fish Wheel,194,125,73,MidYR,3e-04
1997,Fish Wheel,194,125,68,Teslin,4e-04
1997,Fish Wheel,194,125,69,UpperYR,0
1997,Fish Wheel,194,126,76,NYR,0
1997,Fish Wheel,194,126,75,White,0.0701
1997,Fish Wheel,194,126,74,Stew,0.123
1997,Fish Wheel,194,126,72,Pelly,0.3204
1997,Fish Wheel,194,126,71,Norden,0
1997,Fish Wheel,194,126,73,MidYR,0.4318
1997,Fish Wheel,194,126,68,Teslin,0.0495
1997,Fish Wheel,194,126,69,UpperYR,0
1997,Fish Wheel,194,141,76,NYR,1
1997,Fish Wheel,194,141,75,White,0
1997,Fish Wheel,194,141,74,Stew,0
1997,Fish Wheel,194,141,72,Pelly,0
1997,Fish Wheel,194,141,71,Norden,0
1997,Fish Wheel,194,141,73,MidYR,0
1997,Fish Wheel,194,141,68,Teslin,0
1997,Fish Wheel,194,141,69,UpperYR,0
1997,Fish Wheel,195,127,76,NYR,0.9999
1997,Fish Wheel,195,127,75,White,0
1997,Fish Wheel,195,127,74,Stew,1e-04
1997,Fish Wheel,195,127,72,Pelly,0
1997,Fish Wheel,195,127,71,Norden,0
1997,Fish Wheel,195,127,73,MidYR,0
1997,Fish Wheel,195,127,68,Teslin,0
1997,Fish Wheel,195,127,69,UpperYR,0
1997,Fish Wheel,195,142,76,NYR,0
1997,Fish Wheel,195,142,75,White,2e-04
1997,Fish Wheel,195,142,74,Stew,0.001
1997,Fish Wheel,195,142,72,Pelly,2e-04
1997,Fish Wheel,195,142,71,Norden,0
1997,Fish Wheel,195,142,73,MidYR,0.0681
1997,Fish Wheel,195,142,68,Teslin,0.9305
1997,Fish Wheel,195,142,69,UpperYR,0
1997,Fish Wheel,195,143,76,NYR,0
1997,Fish Wheel,195,143,75,White,0.9939
1997,Fish Wheel,195,143,74,Stew,0.0012
1997,Fish Wheel,195,143,72,Pelly,7e-04
1997,Fish Wheel,195,143,71,Norden,0
1997,Fish Wheel,195,143,73,MidYR,0.0019
1997,Fish Wheel,195,143,68,Teslin,0.0023
1997,Fish Wheel,195,143,69,UpperYR,0
1997,Fish Wheel,195,144,76,NYR,0.0023
1997,Fish Wheel,195,144,75,White,0
1997,Fish Wheel,195,144,74,Stew,0.0019
1997,Fish Wheel,195,144,72,Pelly,0.0018
1997,Fish Wheel,195,144,71,Norden,0
1997,Fish Wheel,195,144,73,MidYR,0.1557
1997,Fish Wheel,195,144,68,Teslin,0.8383
1997,Fish Wheel,195,144,69,UpperYR,0
1997,Fish Wheel,195,145,76,NYR,0.0042
1997,Fish Wheel,195,145,75,White,0
1997,Fish Wheel,195,145,74,Stew,0.9733
1997,Fish Wheel,195,145,72,Pelly,0.0182
1997,Fish Wheel,195,145,71,Norden,0
1997,Fish Wheel,195,145,73,MidYR,3e-04
1997,Fish Wheel,195,145,68,Teslin,0.004
1997,Fish Wheel,195,145,69,UpperYR,0
1997,Fish Wheel,195,153,76,NYR,0
1997,Fish Wheel,195,153,75,White,1e-04
1997,Fish Wheel,195,153,74,Stew,3e-04
1997,Fish Wheel,195,153,72,Pelly,0.9876
1997,Fish Wheel,195,153,71,Norden,0
1997,Fish Wheel,195,153,73,MidYR,0.0119
1997,Fish Wheel,195,153,68,Teslin,1e-04
1997,Fish Wheel,195,153,69,UpperYR,0
1997,Fish Wheel,195,248,76,NYR,0
1997,Fish Wheel,195,248,75,White,0.0027
1997,Fish Wheel,195,248,74,Stew,0.0043
1997,Fish Wheel,195,248,72,Pelly,0.2972
1997,Fish Wheel,195,248,71,Norden,0
1997,Fish Wheel,195,248,73,MidYR,0.6835
1997,Fish Wheel,195,248,68,Teslin,0
1997,Fish Wheel,195,248,69,UpperYR,0.0105
1997,Fish Wheel,196,146,76,NYR,0.9925
1997,Fish Wheel,196,146,75,White,0
1997,Fish Wheel,196,146,74,Stew,6e-04
1997,Fish Wheel,196,146,72,Pelly,3e-04
1997,Fish Wheel,196,146,71,Norden,0
1997,Fish Wheel,196,146,73,MidYR,0.0064
1997,Fish Wheel,196,146,68,Teslin,2e-04
1997,Fish Wheel,196,146,69,UpperYR,0
1997,Fish Wheel,196,147,76,NYR,0.9692
1997,Fish Wheel,196,147,75,White,5e-04
1997,Fish Wheel,196,147,74,Stew,0.0293
1997,Fish Wheel,196,147,72,Pelly,0
1997,Fish Wheel,196,147,71,Norden,0
1997,Fish Wheel,196,147,73,MidYR,4e-04
1997,Fish Wheel,196,147,68,Teslin,4e-04
1997,Fish Wheel,196,147,69,UpperYR,0
1997,Fish Wheel,196,186,76,NYR,0.0069
1997,Fish Wheel,196,186,75,White,0
1997,Fish Wheel,196,186,74,Stew,0.0158
1997,Fish Wheel,196,186,72,Pelly,0.0094
1997,Fish Wheel,196,186,71,Norden,0
1997,Fish Wheel,196,186,73,MidYR,0.0811
1997,Fish Wheel,196,186,68,Teslin,0.8867
1997,Fish Wheel,196,186,69,UpperYR,0
1997,Fish Wheel,197,148,76,NYR,0
1997,Fish Wheel,197,148,75,White,0
1997,Fish Wheel,197,148,74,Stew,0.0022
1997,Fish Wheel,197,148,72,Pelly,0.0485
1997,Fish Wheel,197,148,71,Norden,0
1997,Fish Wheel,197,148,73,MidYR,0.9492
1997,Fish Wheel,197,148,68,Teslin,1e-04
1997,Fish Wheel,197,148,69,UpperYR,0
1997,Fish Wheel,197,149,76,NYR,0
1997,Fish Wheel,197,149,75,White,0.0078
1997,Fish Wheel,197,149,74,Stew,0.0053
1997,Fish Wheel,197,149,72,Pelly,0.9028
1997,Fish Wheel,197,149,71,Norden,0
1997,Fish Wheel,197,149,73,MidYR,0.0831
1997,Fish Wheel,197,149,68,Teslin,6e-04
1997,Fish Wheel,197,149,69,UpperYR,0
1997,Fish Wheel,197,156,76,NYR,0.0039
1997,Fish Wheel,197,156,75,White,0.001
1997,Fish Wheel,197,156,74,Stew,0.1753
1997,Fish Wheel,197,156,72,Pelly,0.1877
1997,Fish Wheel,197,156,71,Norden,0
1997,Fish Wheel,197,156,73,MidYR,0.6316
1997,Fish Wheel,197,156,68,Teslin,0
1997,Fish Wheel,197,156,69,UpperYR,0
1997,Fish Wheel,197,235,76,NYR,0
1997,Fish Wheel,197,235,75,White,0
1997,Fish Wheel,197,235,74,Stew,0.0271
1997,Fish Wheel,197,235,72,Pelly,0.1574
1997,Fish Wheel,197,235,71,Norden,0.0016
1997,Fish Wheel,197,235,73,MidYR,0.8063
1997,Fish Wheel,197,235,68,Teslin,0.0075
1997,Fish Wheel,197,235,69,UpperYR,0
1997,Fish Wheel,198,128,76,NYR,0.9991
1997,Fish Wheel,198,128,75,White,0
1997,Fish Wheel,198,128,74,Stew,3e-04
1997,Fish Wheel,198,128,72,Pelly,0
1997,Fish Wheel,198,128,71,Norden,0
1997,Fish Wheel,198,128,73,MidYR,5e-04
1997,Fish Wheel,198,128,68,Teslin,1e-04
1997,Fish Wheel,198,128,69,UpperYR,0
1997,Fish Wheel,198,129,76,NYR,1
1997,Fish Wheel,198,129,75,White,0
1997,Fish Wheel,198,129,74,Stew,0
1997,Fish Wheel,198,129,72,Pelly,0
1997,Fish Wheel,198,129,71,Norden,0
1997,Fish Wheel,198,129,73,MidYR,0
1997,Fish Wheel,198,129,68,Teslin,0
1997,Fish Wheel,198,129,69,UpperYR,0
1997,Fish Wheel,198,130,76,NYR,0.6527
1997,Fish Wheel,198,130,75,White,0.01
1997,Fish Wheel,198,130,74,Stew,0.1815
1997,Fish Wheel,198,130,72,Pelly,0.0166
1997,Fish Wheel,198,130,71,Norden,0
1997,Fish Wheel,198,130,73,MidYR,0.1355
1997,Fish Wheel,198,130,68,Teslin,0
1997,Fish Wheel,198,130,69,UpperYR,0
1997,Fish Wheel,198,150,76,NYR,0
1997,Fish Wheel,198,150,75,White,0.7246
1997,Fish Wheel,198,150,74,Stew,2e-04
1997,Fish Wheel,198,150,72,Pelly,0.2675
1997,Fish Wheel,198,150,71,Norden,0
1997,Fish Wheel,198,150,73,MidYR,0.0077
1997,Fish Wheel,198,150,68,Teslin,0
1997,Fish Wheel,198,150,69,UpperYR,0
1997,Fish Wheel,198,166,76,NYR,0.0015
1997,Fish Wheel,198,166,75,White,0
1997,Fish Wheel,198,166,74,Stew,0.029
1997,Fish Wheel,198,166,72,Pelly,0.0024
1997,Fish Wheel,198,166,71,Norden,0
1997,Fish Wheel,198,166,73,MidYR,0.0895
1997,Fish Wheel,198,166,68,Teslin,0.8771
1997,Fish Wheel,198,166,69,UpperYR,0
1997,Fish Wheel,199,218,76,NYR,0
1997,Fish Wheel,199,218,75,White,0
1997,Fish Wheel,199,218,74,Stew,0
1997,Fish Wheel,199,218,72,Pelly,0
1997,Fish Wheel,199,218,71,Norden,0
1997,Fish Wheel,199,218,73,MidYR,0.9871
1997,Fish Wheel,199,218,68,Teslin,0.0026
1997,Fish Wheel,199,218,69,UpperYR,0.0103
1997,Fish Wheel,200,259,76,NYR,0
1997,Fish Wheel,200,259,75,White,0
1997,Fish Wheel,200,259,74,Stew,0.0239
1997,Fish Wheel,200,259,72,Pelly,0.1281
1997,Fish Wheel,200,259,71,Norden,0
1997,Fish Wheel,200,259,73,MidYR,0.8451
1997,Fish Wheel,200,259,68,Teslin,0.0029
1997,Fish Wheel,200,259,69,UpperYR,0
1997,Fish Wheel,201,138,76,NYR,0.0232
1997,Fish Wheel,201,138,75,White,0
1997,Fish Wheel,201,138,74,Stew,0.1952
1997,Fish Wheel,201,138,72,Pelly,0.002
1997,Fish Wheel,201,138,71,Norden,0
1997,Fish Wheel,201,138,73,MidYR,0.7664
1997,Fish Wheel,201,138,68,Teslin,0.0128
1997,Fish Wheel,201,138,69,UpperYR,0
1997,Fish Wheel,201,192,76,NYR,0
1997,Fish Wheel,201,192,75,White,0.0033
1997,Fish Wheel,201,192,74,Stew,0.2638
1997,Fish Wheel,201,192,72,Pelly,0.0424
1997,Fish Wheel,201,192,71,Norden,0
1997,Fish Wheel,201,192,73,MidYR,0.5695
1997,Fish Wheel,201,192,68,Teslin,0.1167
1997,Fish Wheel,201,192,69,UpperYR,0
1997,Fish Wheel,201,210,76,NYR,0
1997,Fish Wheel,201,210,75,White,0
1997,Fish Wheel,201,210,74,Stew,1e-04
1997,Fish Wheel,201,210,72,Pelly,0
1997,Fish Wheel,201,210,71,Norden,0
1997,Fish Wheel,201,210,73,MidYR,0.7078
1997,Fish Wheel,201,210,68,Teslin,2e-04
1997,Fish Wheel,201,210,69,UpperYR,0.2919
1997,Fish Wheel,201,215,76,NYR,0
1997,Fish Wheel,201,215,75,White,0.0209
1997,Fish Wheel,201,215,74,Stew,0.0702
1997,Fish Wheel,201,215,72,Pelly,0.0119
1997,Fish Wheel,201,215,71,Norden,0
1997,Fish Wheel,201,215,73,MidYR,0.8699
1997,Fish Wheel,201,215,68,Teslin,0.0268
1997,Fish Wheel,201,215,69,UpperYR,0
1997,Fish Wheel,201,236,76,NYR,0
1997,Fish Wheel,201,236,75,White,0.0052
1997,Fish Wheel,201,236,74,Stew,0.0266
1997,Fish Wheel,201,236,72,Pelly,0.0244
1997,Fish Wheel,201,236,71,Norden,0
1997,Fish Wheel,201,236,73,MidYR,0.8483
1997,Fish Wheel,201,236,68,Teslin,0.0917
1997,Fish Wheel,201,236,69,UpperYR,0
1997,Fish Wheel,202,139,76,NYR,0.5475
1997,Fish Wheel,202,139,75,White,0
1997,Fish Wheel,202,139,74,Stew,0.1737
1997,Fish Wheel,202,139,72,Pelly,0.0771
1997,Fish Wheel,202,139,71,Norden,0
1997,Fish Wheel,202,139,73,MidYR,0.1989
1997,Fish Wheel,202,139,68,Teslin,0.0024
1997,Fish Wheel,202,139,69,UpperYR,0
1997,Fish Wheel,202,140,76,NYR,0
1997,Fish Wheel,202,140,75,White,0.006
1997,Fish Wheel,202,140,74,Stew,0.0747
1997,Fish Wheel,202,140,72,Pelly,0.7455
1997,Fish Wheel,202,140,71,Norden,0
1997,Fish Wheel,202,140,73,MidYR,0.0823
1997,Fish Wheel,202,140,68,Teslin,0.0874
1997,Fish Wheel,202,140,69,UpperYR,0
1997,Fish Wheel,202,213,76,NYR,0
1997,Fish Wheel,202,213,75,White,0.0069
