year,gear,julian,fish,CU_no,CU,prob
1985,Fish Wheel,207,19,72,Pelly,1e-04
1985,Fish Wheel,207,19,71,Norden,0
1985,Fish Wheel,207,19,73,MidYR,0.1143
1985,Fish Wheel,207,19,68,Teslin,0.8856
1985,Fish Wheel,207,19,69,UpperYR,0
1985,Fish Wheel,207,20,76,NYR,1
1985,Fish Wheel,207,20,75,White,0
1985,Fish Wheel,207,20,74,Stew,0
1985,Fish Wheel,207,20,72,Pelly,0
1985,Fish Wheel,207,20,71,Norden,0
1985,Fish Wheel,207,20,73,MidYR,0
1985,Fish Wheel,207,20,68,Teslin,0
1985,Fish Wheel,207,20,69,UpperYR,0
1985,Fish Wheel,207,21,76,NYR,0
1985,Fish Wheel,207,21,75,White,0
1985,Fish Wheel,207,21,74,Stew,0
1985,Fish Wheel,207,21,72,Pelly,0
1985,Fish Wheel,207,21,71,Norden,0
1985,Fish Wheel,207,21,73,MidYR,0.0245
1985,Fish Wheel,207,21,68,Teslin,0.9755
1985,Fish Wheel,207,21,69,UpperYR,0
1985,Fish Wheel,207,229,76,NYR,0
1985,Fish Wheel,207,229,75,White,0.0366
1985,Fish Wheel,207,229,74,Stew,0.0161
1985,Fish Wheel,207,229,72,Pelly,0.3277
1985,Fish Wheel,207,229,71,Norden,0
1985,Fish Wheel,207,229,73,MidYR,0.6168
1985,Fish Wheel,207,229,68,Teslin,0.0015
1985,Fish Wheel,207,229,69,UpperYR,0
1985,Fish Wheel,207,243,76,NYR,0
1985,Fish Wheel,207,243,75,White,1e-04
1985,Fish Wheel,207,243,74,Stew,7e-04
1985,Fish Wheel,207,243,72,Pelly,0.0032
1985,Fish Wheel,207,243,71,Norden,0
1985,Fish Wheel,207,243,73,MidYR,0.9931
1985,Fish Wheel,207,243,68,Teslin,0.0029
1985,Fish Wheel,207,243,69,UpperYR,0
1985,Fish Wheel,207,264,76,NYR,0.9999
1985,Fish Wheel,207,264,75,White,0
1985,Fish Wheel,207,264,74,Stew,1e-04
1985,Fish Wheel,207,264,72,Pelly,0
1985,Fish Wheel,207,264,71,Norden,0
1985,Fish Wheel,207,264,73,MidYR,0
1985,Fish Wheel,207,264,68,Teslin,0
1985,Fish Wheel,207,264,69,UpperYR,0
1985,Fish Wheel,208,22,76,NYR,0.9788
1985,Fish Wheel,208,22,75,White,0.0081
1985,Fish Wheel,208,22,74,Stew,0.0016
1985,Fish Wheel,208,22,72,Pelly,0.0073
1985,Fish Wheel,208,22,71,Norden,0
1985,Fish Wheel,208,22,73,MidYR,0.0035
1985,Fish Wheel,208,22,68,Teslin,0
1985,Fish Wheel,208,22,69,UpperYR,0
1985,Fish Wheel,208,23,76,NYR,0
1985,Fish Wheel,208,23,75,White,0.9913
1985,Fish Wheel,208,23,74,Stew,0.0074
1985,Fish Wheel,208,23,72,Pelly,2e-04
1985,Fish Wheel,208,23,71,Norden,0
1985,Fish Wheel,208,23,73,MidYR,4e-04
1985,Fish Wheel,208,23,68,Teslin,7e-04
1985,Fish Wheel,208,23,69,UpperYR,0
1985,Fish Wheel,208,24,76,NYR,0.0059
1985,Fish Wheel,208,24,75,White,0
1985,Fish Wheel,208,24,74,Stew,0.0024
1985,Fish Wheel,208,24,72,Pelly,0.328
1985,Fish Wheel,208,24,71,Norden,0.0195
1985,Fish Wheel,208,24,73,MidYR,0.6412
1985,Fish Wheel,208,24,68,Teslin,0
1985,Fish Wheel,208,24,69,UpperYR,0
1985,Fish Wheel,208,25,76,NYR,0
1985,Fish Wheel,208,25,75,White,0
1985,Fish Wheel,208,25,74,Stew,0.9797
1985,Fish Wheel,208,25,72,Pelly,0.0045
1985,Fish Wheel,208,25,71,Norden,0.0042
1985,Fish Wheel,208,25,73,MidYR,0.009
1985,Fish Wheel,208,25,68,Teslin,0.0017
1985,Fish Wheel,208,25,69,UpperYR,0
1985,Fish Wheel,208,151,76,NYR,0
1985,Fish Wheel,208,151,75,White,0
1985,Fish Wheel,208,151,74,Stew,0
1985,Fish Wheel,208,151,72,Pelly,0.0042
1985,Fish Wheel,208,151,71,Norden,0.9933
1985,Fish Wheel,208,151,73,MidYR,0.0025
1985,Fish Wheel,208,151,68,Teslin,0
1985,Fish Wheel,208,151,69,UpperYR,0
1985,Fish Wheel,208,182,76,NYR,0
1985,Fish Wheel,208,182,75,White,0
1985,Fish Wheel,208,182,74,Stew,0
1985,Fish Wheel,208,182,72,Pelly,0
1985,Fish Wheel,208,182,71,Norden,0
1985,Fish Wheel,208,182,73,MidYR,0.0029
1985,Fish Wheel,208,182,68,Teslin,0.9971
1985,Fish Wheel,208,182,69,UpperYR,0
1985,Fish Wheel,208,190,76,NYR,0
1985,Fish Wheel,208,190,75,White,0
1985,Fish Wheel,208,190,74,Stew,0.9676
1985,Fish Wheel,208,190,72,Pelly,0.0109
1985,Fish Wheel,208,190,71,Norden,0
1985,Fish Wheel,208,190,73,MidYR,0.0035
1985,Fish Wheel,208,190,68,Teslin,0.018
1985,Fish Wheel,208,190,69,UpperYR,0
1985,Fish Wheel,209,26,76,NYR,0
1985,Fish Wheel,209,26,75,White,0
1985,Fish Wheel,209,26,74,Stew,0.0069
1985,Fish Wheel,209,26,72,Pelly,0.8081
1985,Fish Wheel,209,26,71,Norden,0
1985,Fish Wheel,209,26,73,MidYR,0.185
1985,Fish Wheel,209,26,68,Teslin,0
1985,Fish Wheel,209,26,69,UpperYR,0
1985,Fish Wheel,209,27,76,NYR,0
1985,Fish Wheel,209,27,75,White,0.2712
1985,Fish Wheel,209,27,74,Stew,0.1867
1985,Fish Wheel,209,27,72,Pelly,0.5126
1985,Fish Wheel,209,27,71,Norden,0.0042
1985,Fish Wheel,209,27,73,MidYR,0.0212
1985,Fish Wheel,209,27,68,Teslin,0
1985,Fish Wheel,209,27,69,UpperYR,0
1985,Fish Wheel,209,28,76,NYR,0
1985,Fish Wheel,209,28,75,White,0
1985,Fish Wheel,209,28,74,Stew,0.0045
1985,Fish Wheel,209,28,72,Pelly,2e-04
1985,Fish Wheel,209,28,71,Norden,0
