"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
1985,2721.47,5094.56,9558.24,12713,15718.17,19216.74,"Big.Salmon","Big.Salmon"
1986,3422.71,5338.48,8210.22,17847.56,21437.15,26362.46,"Big.Salmon","Big.Salmon"
1987,2439.61,4257.59,7685.33,10365.06,12800.04,15892.24,"Big.Salmon","Big.Salmon"
1988,2520.16,4909.91,9234.35,11948.47,14714.31,18146.66,"Big.Salmon","Big.Salmon"
1989,4078.95,6152.18,9131.58,25575.33,30071.56,35573.79,"Big.Salmon","Big.Salmon"
1990,4212.64,10270.87,15836.88,9777.7,12765.68,16278.34,"Big.Salmon","Big.Salmon"
1991,4211.52,6277.24,9136.07,24385.21,28846.24,34324.27,"Big.Salmon","Big.Salmon"
1992,1909.49,3807.24,10194.83,6807.44,8933.23,11473.04,"Big.Salmon","Big.Salmon"
1993,3465.25,5440.34,8238.77,11783.55,14176.33,17361.48,"Big.Salmon","Big.Salmon"
1994,3322.14,6190.15,10608.59,6947.94,8621.71,10716.3,"Big.Salmon","Big.Salmon"
1995,4744.79,7629.55,11449.31,8748.56,10878.41,13535.22,"Big.Salmon","Big.Salmon"
1996,4443.43,7307.06,11312.91,10278.18,13268.62,17098.46,"Big.Salmon","Big.Salmon"
1997,5145.19,7825.78,11480.69,12808.67,15665.83,19283.16,"Big.Salmon","Big.Salmon"
1998,2746.85,4698.81,7656.35,11811.08,14335.04,17544.47,"Big.Salmon","Big.Salmon"
1999,2574.79,4308.54,7336.13,8367.19,9863.71,11595.38,"Big.Salmon","Big.Salmon"
2000,2433.29,3952.38,6469.95,8925.99,10516.68,12157.69,"Big.Salmon","Big.Salmon"
2001,4485.07,6587.62,9488.85,12370.38,14151.93,15953.38,"Big.Salmon","Big.Salmon"
2002,3898.88,8115.31,13682.7,4162.79,5235.62,6429.38,"Big.Salmon","Big.Salmon"
2003,4808.99,7155.19,10454.03,8393.87,9617.2,10900.74,"Big.Salmon","Big.Salmon"
2004,3231.17,5411.53,8727.33,6174.28,7350.48,8635.57,"Big.Salmon","Big.Salmon"
2005,5279.27,5623.49,5994.94,7963.29,9076.28,10294.07,"Big.Salmon","Big.Salmon"
2006,6803.78,7264.38,7735.38,4800.72,5585.31,6436.36,"Big.Salmon","Big.Salmon"
2007,4207.11,4480.27,4775.65,4179.16,4771.38,5411.8,"Big.Salmon","Big.Salmon"
2008,1267.87,1350.16,1435,3649.03,4363.12,5136.93,"Big.Salmon","Big.Salmon"
2009,8497.81,9062.12,9650.62,8017.03,9173.36,10438.26,"Big.Salmon","Big.Salmon"
2010,3573.68,3809.31,4067.64,5692.01,6815.21,8024.02,"Big.Salmon","Big.Salmon"
2011,4810.34,5138.06,5475.57,8995.31,10157.44,11423.32,"Big.Salmon","Big.Salmon"
2012,2441.3,2603.06,2774.24,6907.09,7971.79,9069.04,"Big.Salmon","Big.Salmon"
2013,3052.58,3250.2,3466.91,6145.39,7100.58,8122.34,"Big.Salmon","Big.Salmon"
2014,5902.33,6276.5,6677.14,4872.38,5664.54,6503.94,"Big.Salmon","Big.Salmon"
2015,9317.66,9937.65,10579.74,2311.27,2711.19,3165.73,"Big.Salmon","Big.Salmon"
2016,6352.48,6767.1,7217.01,1992.73,2270.94,2568.3,"Big.Salmon","Big.Salmon"
2017,5318.52,5673.19,6042.45,1518.95,1766.79,2016.43,"Big.Salmon","Big.Salmon"
2018,4826.74,5150.11,5482.73,1770.56,2036.26,2320.34,"Big.Salmon","Big.Salmon"
2019,3599.2,3838.83,4095.33,1945.25,2317.79,2775.03,"Big.Salmon","Big.Salmon"
2020,1552.08,1655.12,1761.57,2759.3,3616.72,5020.1,"Big.Salmon","Big.Salmon"
2021,1852.13,1972.87,2099.18,2559.92,4377.53,7873.03,"Big.Salmon","Big.Salmon"
2022,1855.56,1976.16,2102.99,NA,NA,NA,"Big.Salmon","Big.Salmon"
2023,1686.11,1796.21,1914.13,NA,NA,NA,"Big.Salmon","Big.Salmon"
2024,1791.28,1907.13,2028.33,NA,NA,NA,"Big.Salmon","Big.Salmon"
2025,2935.46,3126.38,3335.46,NA,NA,NA,"Big.Salmon","Big.Salmon"
1985,7209.24,9279.5,12065.09,27783.37,33391.51,39779.67,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1986,8573.75,10885.96,13883.96,40010.24,46424.26,53697.81,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1987,7735.25,9803.41,12578.45,22328.78,26818.19,31607.64,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1988,5571.58,7905.58,11284.65,25296.21,30431.22,36128.35,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1989,12848.25,16636.87,21534.82,59195.84,68578.42,78528.34,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1990,8487.82,13040.76,20205.21,23699.52,29972.99,36980.47,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1991,12571.63,15758.91,19661.6,60212.15,69172.61,78819.33,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1992,6685.79,8760.12,11695.2,14402.57,18251.71,22817.31,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1993,7912.86,10190.04,12869.76,25616.39,29714.36,34234.52,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1994,9180.58,11820.93,15247.91,15673.58,18506.26,21814.15,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1995,16073.93,20119.83,25199.24,20359.24,24364.85,28964.27,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1996,13487.52,17204.72,21893.7,25402.86,30285.65,35677.88,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1997,18510.39,23222.34,28862.02,32598.76,38526.94,44871.88,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1998,4798.92,6769.18,9380.33,27680.96,32369.44,37816.55,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1999,7580.69,9699.12,12388.19,20902.2,24789.83,29105.56,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2000,6248.38,8051.65,10225.34,19580.44,23420.47,27750.84,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2001,11998.79,15680.69,20359.7,19578.07,23029.54,26813.75,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2002,14448.92,18498.99,23565.24,10103.39,12353.54,14975.2,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2003,16619.32,20678.72,25725.85,19401.18,22529,26066.7,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2004,9051.76,11420.93,14448.24,10549.62,12766.97,15307.88,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2005,11744.2,14481.07,17903.93,15217.63,17657.58,20417.02,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2006,11960.62,14814.69,18139.34,10767,12709.48,14941.13,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2007,3694.21,4732.55,6096.38,7168.94,8549.08,10140.01,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2008,7704.95,9501.11,11693.44,9101.07,11199.77,13709.41,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2009,10429.61,12778.68,15673.18,18562.8,22267.15,26803.53,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2010,5843.71,7303,9102.57,11824.87,14677.18,18031.75,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2011,8600.24,10481.37,12854.35,22194.64,26147.16,30648.88,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2012,5369.75,6569.97,8106.74,20444.02,24198.42,28613.55,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2013,4257.47,5241.47,6417.81,17525.2,20823.3,24554.28,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2014,14438.76,17632.96,21382.49,16370.88,19203.79,22378.9,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2015,18197.61,21955.43,26759.22,8669.89,10435.99,12414.22,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2016,11771.2,14497.28,17857.72,5593.73,6690.08,8032.8,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2017,14081.24,17560.99,21854.3,2901.18,3581.45,4389.06,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2018,12604.26,15433.27,18934.55,3810.75,4644.17,5592.68,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2019,8819.52,10933.16,13433.97,5106.18,6335.79,7972.86,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2020,5712.28,7026.33,8640.12,8145.32,11410.49,16208.65,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2021,6253.73,7598.87,9212.62,7054.14,13077.86,25321.41,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2022,3654.57,4512.1,5598.69,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2023,2423.07,3003.1,3697.98,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2024,4692.77,5722.16,6985.15,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
2025,7038.32,8624.95,10563.52,NA,NA,NA,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1985,2529,3106.58,3826.94,1022.77,1254.8,1525.84,"Nordenskiold","Nordenskiold"
1986,925.13,1181.19,1499.48,2110.49,2477.46,2883.12,"Nordenskiold","Nordenskiold"
1987,442.39,594.86,798.69,2215.87,2708.8,3280.4,"Nordenskiold","Nordenskiold"
1988,707.65,1015.42,1459.61,4773.67,5807.22,6937.74,"Nordenskiold","Nordenskiold"
1989,555.7,765.83,1055.35,12587.09,14427.45,16479.27,"Nordenskiold","Nordenskiold"
1990,400.78,572.19,818.81,4283.21,5441.89,6810.58,"Nordenskiold","Nordenskiold"
1991,453.93,642.24,909.34,6632.94,7748.67,9018.09,"Nordenskiold","Nordenskiold"
1992,340.34,506.03,762.54,3030.93,3739.84,4560.62,"Nordenskiold","Nordenskiold"
1993,851,1129.31,1489.31,6185.47,7119.91,8179.38,"Nordenskiold","Nordenskiold"
1994,2201.67,2743.31,3373.36,2825.98,3408.9,4057.55,"Nordenskiold","Nordenskiold"
1995,3370.69,3993.4,4700.33,1796.79,2182.52,2632.05,"Nordenskiold","Nordenskiold"
1996,3003.69,3596.41,4277.83,1611.43,1943.8,2327.54,"Nordenskiold","Nordenskiold"
1997,946.13,1222.16,1561.49,2365.6,2814.55,3308.3,"Nordenskiold","Nordenskiold"
1998,1889.7,2256.64,2712.96,3958.49,4606.18,5320.33,"Nordenskiold","Nordenskiold"
1999,1508.03,1960.54,2525.94,2407.66,3031.97,3799.34,"Nordenskiold","Nordenskiold"
2000,1204.66,1518.84,1909.56,3688.89,4476.03,5332.72,"Nordenskiold","Nordenskiold"
2001,662.37,845.44,1078.45,5990.31,6885.08,7826.61,"Nordenskiold","Nordenskiold"
2002,954.84,1226.8,1591.11,1949.7,2439.69,2989.04,"Nordenskiold","Nordenskiold"
2003,1186.78,1508.06,1911.98,2508.92,2881.18,3287.6,"Nordenskiold","Nordenskiold"
2004,1889.17,2279.69,2737.41,2168.54,2604.4,3061.34,"Nordenskiold","Nordenskiold"
2005,972.05,1645.8,2551.12,2611.37,3065.24,3552.76,"Nordenskiold","Nordenskiold"
2006,3677.05,3883.22,4099.63,1115.32,1432.43,1827.31,"Nordenskiold","Nordenskiold"
2007,1905.7,1973.48,2041.92,2065.61,2425.47,2804.46,"Nordenskiold","Nordenskiold"
2008,564.12,753,1005.77,1198.85,1485.14,1793.93,"Nordenskiold","Nordenskiold"
2009,1892.87,1989.88,2091.61,1240.67,1554.86,1910.69,"Nordenskiold","Nordenskiold"
2010,2177.2,2262.35,2352.91,1720.31,2183.69,2723.18,"Nordenskiold","Nordenskiold"
2011,622.99,832.66,1107.48,5559.72,6261.97,6958.96,"Nordenskiold","Nordenskiold"
2012,519.09,839.27,1334.24,2772.01,3323.5,3922.7,"Nordenskiold","Nordenskiold"
2013,2142.27,2285.96,2440.01,1198.77,1518.37,1928.57,"Nordenskiold","Nordenskiold"
2014,722.24,942.36,1223.2,2049.85,2459.3,2943.7,"Nordenskiold","Nordenskiold"
2015,1181.54,1524.65,1954.08,1890.04,2225.56,2585.58,"Nordenskiold","Nordenskiold"
2016,4648.65,4811.74,4981.4,1005.93,1180.27,1387.04,"Nordenskiold","Nordenskiold"
2017,3200.99,3409.1,3641.05,860.55,1017.79,1185.61,"Nordenskiold","Nordenskiold"
2018,581.32,810.46,1138.87,1355.3,1555.97,1774.19,"Nordenskiold","Nordenskiold"
2019,491.65,834.2,1412.23,1053.72,1279.16,1602.48,"Nordenskiold","Nordenskiold"
2020,1657.18,1884.52,2128.23,1386.25,1998.7,3132.4,"Nordenskiold","Nordenskiold"
2021,1259.8,1322.79,1388.64,1293.11,2515.18,5084.26,"Nordenskiold","Nordenskiold"
2022,627.11,666.98,707.82,NA,NA,NA,"Nordenskiold","Nordenskiold"
2023,1409.38,1506.62,1613.53,NA,NA,NA,"Nordenskiold","Nordenskiold"
2024,1239.1,1415.42,1615.76,NA,NA,NA,"Nordenskiold","Nordenskiold"
2025,1134.69,1250.48,1376.37,NA,NA,NA,"Nordenskiold","Nordenskiold"
1985,1354.38,1893.72,2660.13,21010.42,25433.02,30387.95,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1986,2672.13,3483.02,4492.04,31888.24,36679.55,42071.64,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1987,2633.1,3266.6,4041.67,26005.28,30798.33,36168.85,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1988,9975.98,12331.47,15053.14,32349.25,38084.14,44442.11,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1989,4480.3,6456.28,9150.16,39268.65,45284.23,51773.24,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1990,16552.65,20797.12,25660.78,9330.82,11946.15,14993.43,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1991,7921.76,9289.51,10919.55,22623.6,25792.13,29318.24,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1992,5212.02,6636.26,8464.84,10134.25,12285.59,14747.86,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1993,10916.54,12913.06,15221.9,13650.83,15743.58,18085.33,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1994,14114.28,16422.28,19090.86,5988.9,7194.59,8544.29,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1995,7827.79,9412.62,11271,8570.93,10105.87,11845.39,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1996,4999.46,6357.8,8141.54,11015.86,13116.72,15433.99,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1997,7067.46,8561.57,10300.19,21830.1,25179.04,28793.04,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1998,4520.54,5831.03,7547.26,24960.14,28661.28,32654.5,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1999,3293.31,4138.84,5206.17,15837.54,18623.16,21742.81,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2000,2185.53,2778.22,3492.33,13943.17,16604.25,19580.47,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2001,5690.83,7045.7,8739.75,16576.27,19228.01,22135.62,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2002,5953.18,7307.52,9028.25,7651.35,9194.5,10944.48,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2003,14202.23,16278.65,18647.72,10061.69,11529.95,13109.24,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2004,9787.17,11475.62,13433.97,4881.82,5896.56,6995.56,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2005,8516.83,9842.99,11356.2,6100.03,7036.62,8103.89,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2006,9233.82,11132.74,13384.87,5722.59,6672.65,7746.75,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2007,3904.11,4716.5,5722.99,3566.48,4414.65,5442.06,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2008,4664.45,5094.75,5572.31,2649.91,3295.21,4087.88,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2009,5973.88,6706.71,7529.58,4429.61,5189.49,6064.52,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2010,2110.37,2786.9,3664.46,3699.81,4500.34,5390.95,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2011,3616.73,4058.93,4541.36,8305.54,9552.61,10888.15,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2012,3873.04,4623.94,5560.67,6918.58,8057.56,9334.41,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2013,1426.99,2167.29,3208.27,4704.94,5576.9,6556.24,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2014,3585.36,4272.07,5090.86,6752.87,7797.06,8917.37,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2015,4506.21,5178.86,5899.69,4494.7,5329.59,6254.68,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2016,5802,6612.09,7519.69,1982.04,2447.8,3003.36,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2017,4853.16,5687.61,6675.97,1092.35,1384.84,1742.04,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2018,4049.79,4763.51,5608.85,1626.5,2018.38,2464.5,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2019,1936.81,2437.44,3078.97,1211.55,1592.36,2111.29,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2020,4853.06,5322.72,5837.24,1663.95,2560.34,4022.94,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2021,2422.73,2884.94,3446.91,1072.92,2111.79,4171.66,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2022,647.76,943.17,1342.47,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2023,1471.58,1882.3,2402.1,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2024,1518.34,1965.34,2527.39,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2025,1013.88,1456.06,2095.35,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1985,6709.58,8001.19,9551.67,31954.63,38733.18,46271.1,"Pelly","Pelly"
1986,9102.75,10805.32,12823.51,44066.46,50737.08,58208.94,"Pelly","Pelly"
1987,10428.81,12062.31,13958.26,23316.75,27751.13,32669.68,"Pelly","Pelly"
1988,6093.36,9743.52,15628.55,22846.02,26984.07,31554.6,"Pelly","Pelly"
1989,10587.51,15530.94,22263.12,32950.05,37702.74,42718.54,"Pelly","Pelly"
1990,23002.5,31543.97,41537.57,11845.18,14892.66,18278.49,"Pelly","Pelly"
1991,10265.29,12046.32,14123.53,27990.81,31931.17,36191.81,"Pelly","Pelly"
1992,8931.67,10936.66,13425.79,10479.07,12929.41,15881.32,"Pelly","Pelly"
1993,7895.51,9471.11,11413.77,18002.85,20613.61,23582.63,"Pelly","Pelly"
1994,9000.62,10770.31,12809.32,10930.17,12930.16,15175.78,"Pelly","Pelly"
1995,7104.99,8601.52,10383.74,12590.43,14924.24,17527.06,"Pelly","Pelly"
1996,7896.95,9664.05,11749.51,12612.39,14988.16,17810.3,"Pelly","Pelly"
1997,8381.89,10050.72,12088.42,25411.1,29481.8,33850.28,"Pelly","Pelly"
1998,4558.72,6679.79,9786.66,25760.36,29779.38,34156.27,"Pelly","Pelly"
1999,5423.79,6572.23,7938.02,17073.38,19945.5,23092.69,"Pelly","Pelly"
2000,4310.73,5197.86,6241.02,11086.16,13236.54,15635.2,"Pelly","Pelly"
2001,8034.47,10392.29,13305.83,15765.72,18069.65,20685.33,"Pelly","Pelly"
2002,5489.55,6679.5,8064.66,8401.86,10206.29,12250.61,"Pelly","Pelly"
2003,17981.01,20505.47,23400.36,16561.89,18863.96,21294.31,"Pelly","Pelly"
2004,9176.35,10683.64,12480.41,12941.61,15290.03,17860.75,"Pelly","Pelly"
2005,9928.14,11264.03,12783.92,16030.91,18308.28,20778.46,"Pelly","Pelly"
2006,4987.86,6110.71,7528.15,11338.64,13146.61,15142.99,"Pelly","Pelly"
2007,6722.33,7681.67,8763.63,12380.51,14169.86,16084.14,"Pelly","Pelly"
2008,3803.2,4148.83,4516.77,7133.12,8525.74,10072.96,"Pelly","Pelly"
2009,14894.11,15923.13,17016.03,11845.5,13542.89,15337.16,"Pelly","Pelly"
2010,8453.45,9360.27,10372.13,9695.06,11559.76,13541.62,"Pelly","Pelly"
2011,8001.34,8614.03,9294.67,15492.39,17517.24,19620.51,"Pelly","Pelly"
2012,6869.08,7882.41,9045.23,10463.87,12114.44,13862.58,"Pelly","Pelly"
2013,9408.93,10371.4,11474.15,8413.48,9752.15,11195.93,"Pelly","Pelly"
2014,6541.38,7132.6,7785.5,8995.72,10307.85,11709.17,"Pelly","Pelly"
