four,five,six,seven,Year,a4,a5,a6,a7,n
0.065074411,0.299044331,0.594285478,0.041595766,1981,3,15,30,2,50
0.048246508,0.119260322,0.576912812,0.255145581,1982,2,6,29,13,50
0.018755245,0.176255359,0.671781546,0.13322768,1983,1,9,34,7,50
0.023761883,0.118039046,0.64718077,0.211018283,1984,1,6,32,11,50
0.009632811,0.074690743,0.689646392,0.225696343,1985,0,4,34,11,50
0.035371048,0.181854986,0.494303944,0.287274065,1986,2,9,25,14,50
0.030820919,0.07678751,0.709546182,0.182718197,1987,2,4,35,9,50
0.073917018,0.214798846,0.225546694,0.48549251,1988,4,11,11,24,50
0.074401823,0.228533853,0.52463885,0.172642356,1989,4,11,26,9,50
0.111045834,0.237041312,0.558976607,0.092966347,1990,6,12,28,5,50
0.016750099,0.336476002,0.482857493,0.163612994,1991,1,17,24,8,50
0.046606576,0.170932761,0.749557183,0.032768187,1992,2,9,37,2,50
0.072032726,0.267273615,0.535990987,0.124807741,1993,4,13,27,6,50
0.029467734,0.392787054,0.48531263,0.09277979,1994,1,20,24,5,50
0.045490842,0.132722888,0.74491672,0.076563565,1995,2,7,37,4,50
0.022071264,0.494983049,0.309666239,0.173348642,1996,1,25,15,9,50
0.037546341,0.145572485,0.787215933,0.030031836,1997,2,7,39,2,50
0.02536433,0.390458149,0.456029998,0.128052976,1998,1,20,23,6,50
0.02010604,0.18520402,0.773814371,0.02084184,1999,1,9,39,1,50
0.03371052,0.300203889,0.525496031,0.140782328,2000,2,15,26,7,50
0.046740701,0.268190955,0.578460393,0.106606103,2001,2,13,29,5,50
0.065075048,0.273906545,0.53700666,0.124184033,2002,3,14,27,6,50
0.015667214,0.274429899,0.631423236,0.078510681,2003,1,14,32,4,50
0.048905769,0.193447974,0.706739445,0.050902889,2004,2,10,35,3,50
0.023353508,0.329593884,0.596587021,0.050412613,2005,1,16,30,3,50
0.041327866,0.530899472,0.416019382,0.011828177,2006,2,27,21,1,100
0.066632162,0.328746774,0.58980413,0.014582565,2007,3,16,29,1,100
0.042749341,0.598070229,0.324812334,0.034349939,2008,2,30,16,2,100
0.093778577,0.307176325,0.596562528,0.002488775,2009,5,15,30,0,100
0.103049767,0.494731542,0.364535892,0.037749935,2010,5,25,18,2,100
0.038497513,0.346383065,0.547526144,0.067547788,2011,2,17,27,3,100
0.071834995,0.374133385,0.519047548,0.034881243,2012,4,19,26,2,100
0.067510516,0.304557458,0.587355904,0.040417528,2013,3,15,29,2,100
0.073079977,0.501885459,0.39907507,0.0259881,2014,4,25,20,1,100
0.129030456,0.33807781,0.511897184,0.020991101,2015,6,17,26,1,100
0.118396809,0.63759401,0.238527976,0.005477459,2016,6,32,12,0,100
0.058321446,0.482392842,0.450026105,0.009096599,2017,3,24,23,0,100
0.125057061,0.440001531,0.419028752,0.015879732,2018,6,22,21,1,100
0.097192845,0.483329919,0.407776248,0.011702139,2019,5,24,20,1,100
0.078633864,0.408533984,0.481018269,0.031909401,2020,4,20,24,2,100
0.022048181,0.453202824,0.484793477,0.039944012,2021,1,23,24,2,100
0.070651522,0.416134266,0.471357322,0.0418656,2022,4,21,24,2,100
0.035513833,0.534568476,0.373529273,0.056368703,2023,2,27,19,3,100
0.122252105,0.458555549,0.39780085,0.021408683,2024,6,23,20,1,100
0.129016488,0.552464341,0.290326049,0.028187516,2025,6,28,15,1,100
