"CU","bench.par","mean","50%","10%","90%","n_eff","Rhat"
"MiddleYukonR.andtribs.","Smsr.20",4151.29493,3550.49642,2406.7569,6071.7828,NA,NA
"Nordenskiold","Smsr.20",279.55474,275.16476,234.71147,329.57416,NA,NA
"NorthernYukonR.andtribs.","Smsr.20",1677.06797,1621.52233,1306.32846,2102.93093,NA,NA
"Pelly","Smsr.20",2963.11322,2785.48885,2159.95126,3827.44173,NA,NA
"Stewart","Smsr.20",1288.54081,1129.34744,833.08981,1806.0612,NA,NA
"UpperYukonR.","Smsr.20",1034.06634,984.23698,757.91718,1359.53684,NA,NA
"Whiteandtribs.","Smsr.20",1436.02661,1358.38569,1044.44161,1880.58723,NA,NA
"YukonR.Teslinheadwaters","Smsr.20",1129.43877,1097.86364,917.50705,1372.74694,NA,NA
"Big.Salmon","Smsr.40",2545.24636,2292.71789,1699.42633,3634.45797,NA,NA
"MiddleYukonR.andtribs.","Smsr.40",8302.58985,7100.99284,4813.51381,12143.56561,NA,NA
"Nordenskiold","Smsr.40",559.10948,550.32951,469.42293,659.14831,NA,NA
"NorthernYukonR.andtribs.","Smsr.40",3354.13593,3243.04465,2612.65692,4205.86185,NA,NA
"Pelly","Smsr.40",5926.22644,5570.9777,4319.90251,7654.88346,NA,NA
"Stewart","Smsr.40",2577.08163,2258.69487,1666.17962,3612.12241,NA,NA
"UpperYukonR.","Smsr.40",2068.13267,1968.47396,1515.83436,2719.07368,NA,NA
"Whiteandtribs.","Smsr.40",2872.05322,2716.77138,2088.88322,3761.17446,NA,NA
"YukonR.Teslinheadwaters","Smsr.40",2258.87754,2195.72728,1835.01411,2745.49389,NA,NA
"Big.Salmon","Smsy",3163.63246,3073.30413,1808.14806,4561.62724,NA,NA
"MiddleYukonR.andtribs.","Smsy",9066.72803,8248.62344,5019.86796,13223.21653,NA,NA
"Nordenskiold","Smsy",969.05236,964.24825,834.50315,1127.452,NA,NA
"NorthernYukonR.andtribs.","Smsy",3249.68604,3211.4039,1022.11334,5359.60229,NA,NA
"Pelly","Smsy",5238.92576,4951.55054,1531.63182,8887.96815,NA,NA
"Stewart","Smsy",2921.19196,2754.99968,1961.67412,3963.49456,NA,NA
"UpperYukonR.","Smsy",2362.15264,2337.8505,1342.10781,3351.28458,NA,NA
"Whiteandtribs.","Smsy",3214.21026,3034.52666,1120.80902,5419.20764,NA,NA
"YukonR.Teslinheadwaters","Smsy",3019.01843,3082.80584,1643.78212,4175.58682,NA,NA
"Big.Salmon","Umsy",0.51902,0.53457,0.28968,0.7211,NA,NA
"MiddleYukonR.andtribs.","Umsy",0.47089,0.48677,0.25089,0.66145,NA,NA
"Nordenskiold","Umsy",0.69855,0.71237,0.61235,0.78051,NA,NA
"NorthernYukonR.andtribs.","Umsy",0.39331,0.39373,0.12554,0.65111,NA,NA
"Pelly","Umsy",0.36174,0.35165,0.10432,0.61973,NA,NA
"Stewart","Umsy",0.48145,0.49014,0.31528,0.63275,NA,NA
"UpperYukonR.","Umsy",0.46931,0.48163,0.26214,0.65127,NA,NA
"Whiteandtribs.","Umsy",0.45579,0.45163,0.16313,0.75296,NA,NA
"YukonR.Teslinheadwaters","Umsy",0.54044,0.56524,0.29424,0.73524,NA,NA
"Big.Salmon","alpha",3.77435,3.66702,1.88083,7.37428,3455,0.9998
"MiddleYukonR.andtribs.","alpha",3.20901,3.17021,1.71561,5.72322,3795,1.0012
"Nordenskiold","alpha",6.94213,7.08818,4.75875,9.944,1068,1.0018
"NorthernYukonR.andtribs.","alpha",2.63861,2.44528,1.29651,5.49655,4148,1.0003
"Pelly","alpha",2.41216,2.19232,1.23923,4.88718,3216,1.0008
"Stewart","alpha",3.24272,3.2019,2.00177,5.12667,2073,1.0022
"UpperYukonR.","alpha",3.17176,3.12271,1.76145,5.49997,5467,1.0008
"Whiteandtribs.","alpha",3.28819,2.86462,1.40666,8.59466,5002,1.0002
"YukonR.Teslinheadwaters","alpha",4.0802,4.04788,1.90163,7.87883,4299,1.0005
"Big.Salmon","beta",0.00017,0.00017,0.00011,0.00024,1501,1.0027
"MiddleYukonR.andtribs.","beta",6e-05,6e-05,3e-05,8e-05,5251,1.0008
"Nordenskiold","beta",0.00073,0.00073,0.00061,0.00085,5494,0.9997
"NorthernYukonR.andtribs.","beta",0.00012,0.00012,1e-04,0.00015,8957,0.9998
"Pelly","beta",7e-05,7e-05,5e-05,9e-05,2788,1.0013
"Stewart","beta",0.00018,0.00018,0.00011,0.00024,2456,1.0019
"UpperYukonR.","beta",2e-04,2e-04,0.00015,0.00026,8824,1
"Whiteandtribs.","beta",0.00015,0.00015,0.00011,0.00019,8663,1.0002
"YukonR.Teslinheadwaters","beta",0.00018,0.00018,0.00015,0.00022,7356,1.0002
"Big.Salmon","phi",0.80035,0.814,0.63714,0.94676,4378,1.0005
"MiddleYukonR.andtribs.","phi",0.73078,0.74012,0.54347,0.91119,4739,1.0002
"Nordenskiold","phi",0.52618,0.53723,0.24687,0.7946,1853,1.0012
"NorthernYukonR.andtribs.","phi",0.86726,0.87553,0.76579,0.96153,6879,0.9998
"Pelly","phi",0.85634,0.86712,0.73584,0.96534,4155,1.0007
"Stewart","phi",0.6231,0.63729,0.36638,0.8658,907,1.0036
"UpperYukonR.","phi",0.67928,0.68734,0.48513,0.86809,5241,1.0006
"Whiteandtribs.","phi",0.86113,0.87391,0.73762,0.96992,5956,1.0002
"YukonR.Teslinheadwaters","phi",0.81152,0.83021,0.64103,0.95894,3961,1.0012
"Big.Salmon","sigma",0.96445,0.96069,0.86172,1.07324,4187,1.0006
"MiddleYukonR.andtribs.","sigma",1.00896,1.00518,0.91171,1.11285,7284,0.9997
"Nordenskiold","sigma",1.02807,1.02369,0.93287,1.12996,5976,1.0002
"NorthernYukonR.andtribs.","sigma",0.96967,0.96626,0.87369,1.07124,7359,1.0005
"Pelly","sigma",0.93933,0.93636,0.84185,1.04134,4022,1.0003
"Stewart","sigma",0.99762,0.99456,0.89678,1.1045,2504,1.0019
"UpperYukonR.","sigma",1.18051,1.1747,1.07286,1.29555,7454,0.9998
"Whiteandtribs.","sigma",1.05727,1.05093,0.95129,1.17105,7491,1
"YukonR.Teslinheadwaters","sigma",0.97375,0.96971,0.87317,1.07999,5921,1
