"CU","bench.par","mean","50%","10%","90%","n_eff","Rhat"
"Big.Salmon","S.recent",2026.05587,2026.23292,1973.20937,2079.11517,NA,NA
"MiddleYukonR.andtribs.","S.recent",5752.94191,5741.85374,5236.51735,6291.86651,NA,NA
"Nordenskiold","S.recent",1281.97397,1282.38822,1232.64038,1332.08138,NA,NA
"NorthernYukonR.andtribs.","S.recent",2073.01169,2065.96714,1827.271,2332.7601,NA,NA
"Pelly","S.recent",2639.9818,2636.40342,2423.38755,2861.99735,NA,NA
"Stewart","S.recent",2183.01254,2174.89447,1973.30637,2403.36299,NA,NA
"UpperYukonR.","S.recent",1466.9449,1462.1978,1322.12795,1616.97469,NA,NA
"Whiteandtribs.","S.recent",904.88535,897.93324,750.10586,1067.39929,NA,NA
"YukonR.Teslinheadwaters","S.recent",2116.51229,2111.99515,1907.8925,2328.7493,NA,NA
"Big.Salmon","Seq",8002.86927,7649.90616,4006.6742,11876.85099,NA,NA
"MiddleYukonR.andtribs.","Seq",22167.75781,19934.79097,11047.96072,32882.9713,NA,NA
"Nordenskiold","Seq",2678.03404,2657.9416,2238.71701,3161.04917,NA,NA
"NorthernYukonR.andtribs.","Seq",7995.97538,7337.63049,2109.00926,13827.46898,NA,NA
"Pelly","Seq",12708.77197,11177.97944,3161.75627,22505.40219,NA,NA
"Stewart","Seq",7059.01677,6645.38943,4468.28106,9678.6095,NA,NA
"UpperYukonR.","Seq",5780.38214,5589.13961,2911.8866,8480.85767,NA,NA
"Whiteandtribs.","Seq",8369.77023,7118.14302,2347.29786,15362.36161,NA,NA
"YukonR.Teslinheadwaters","Seq",7831.0496,7727.13749,3613.13805,11438.12327,NA,NA
"Big.Salmon","Sgen",1013.49155,929.46839,478.47546,1609.17654,NA,NA
"MiddleYukonR.andtribs.","Sgen",3426.71194,2999.03799,1558.75361,5340.19999,NA,NA
"Nordenskiold","Sgen",162.92778,154.12883,103.69238,233.82765,NA,NA
"NorthernYukonR.andtribs.","Sgen",1304.96862,1336.91388,654.95591,1845.61881,NA,NA
"Pelly","Sgen",2283.74721,2285.01053,1018.87908,3322.69347,NA,NA
"Stewart","Sgen",1116.54049,996.13581,607.05146,1678.47895,NA,NA
"UpperYukonR.","Sgen",864.85479,848.49011,513.47428,1230.86798,NA,NA
"Whiteandtribs.","Sgen",1075.74495,1076.79353,455.53459,1611.27667,NA,NA
"YukonR.Teslinheadwaters","Sgen",851.34611,859.31221,476.14544,1207.76266,NA,NA
"Big.Salmon","Smsr",6363.11589,5731.79472,4248.56583,9086.14493,NA,NA
"MiddleYukonR.andtribs.","Smsr",20756.47463,17752.48209,12033.78452,30358.91402,NA,NA
"Nordenskiold","Smsr",1397.77371,1375.82378,1173.55733,1647.87078,NA,NA
"NorthernYukonR.andtribs.","Smsr",8385.33984,8107.61163,6531.6423,10514.65464,NA,NA
"Pelly","Smsr",14815.56611,13927.44426,10799.75628,19137.20864,NA,NA
"Stewart","Smsr",6442.70407,5646.73718,4165.44905,9030.30602,NA,NA
"UpperYukonR.","Smsr",5170.33168,4921.18489,3789.58589,6797.68421,NA,NA
"Whiteandtribs.","Smsr",7180.13305,6791.92844,5222.20805,9402.93615,NA,NA
"YukonR.Teslinheadwaters","Smsr",5647.19386,5489.31819,4587.53527,6863.73471,NA,NA
"Big.Salmon","Smsr.20",1272.62318,1146.35894,849.71317,1817.22899,NA,NA
