"","population","year","harv","cv"
"1","NorthernYukonR.andtribs.","1985",5063.42058402204,0.140912364
"2","NorthernYukonR.andtribs.","1986",8295.4541764851,0.131097544
"3","NorthernYukonR.andtribs.","1987",13383.9054613193,0.134475578
"4","NorthernYukonR.andtribs.","1988",30452.3212046017,0.127990569
"5","NorthernYukonR.andtribs.","1989",8953.7677576057,0.128515546
"6","NorthernYukonR.andtribs.","1990",21873.5598249189,0.135257381
"7","NorthernYukonR.andtribs.","1991",16360.2838144412,0.128439122
"8","NorthernYukonR.andtribs.","1992",19076.1229095908,0.143929542
"9","NorthernYukonR.andtribs.","1993",25520.8775934063,0.136226665
"10","NorthernYukonR.andtribs.","1994",32984.303823919,0.130780246
"11","NorthernYukonR.andtribs.","1995",19650.9769249315,0.139701013
"12","NorthernYukonR.andtribs.","1996",9646.97528688419,0.130230535
"13","NorthernYukonR.andtribs.","1997",11963.055694328,0.142866215
"14","NorthernYukonR.andtribs.","1998",10031.0050548276,0.142760007
"15","NorthernYukonR.andtribs.","1999",6894.51273103822,0.130481325
"16","NorthernYukonR.andtribs.","2000",3928.2835409571,0.136242213
"17","NorthernYukonR.andtribs.","2001",3655.9510928217,0.143071125
"18","NorthernYukonR.andtribs.","2002",6777.67947252483,0.128987366
"19","NorthernYukonR.andtribs.","2003",15168.4524774995,0.123107603
"20","NorthernYukonR.andtribs.","2004",14477.0589455413,0.128508529
"21","NorthernYukonR.andtribs.","2005",8833.72941659361,0.117971239
"22","NorthernYukonR.andtribs.","2006",11529.8177957164,0.129842566
"23","NorthernYukonR.andtribs.","2007",7080.31207909514,0.131906287
"24","NorthernYukonR.andtribs.","2008",5363.98325951374,0.125255227
"25","NorthernYukonR.andtribs.","2009",2268.08051440331,0.126748405
"26","NorthernYukonR.andtribs.","2010",2488.98354831359,0.137307023
"27","NorthernYukonR.andtribs.","2011",2009.30776307204,0.125075681
"28","NorthernYukonR.andtribs.","2012",3024.00742776586,0.13842444
"29","NorthernYukonR.andtribs.","2013",153.087188357461,0.156086008
"30","NorthernYukonR.andtribs.","2014",116.208369149599,0.169597727
"31","NorthernYukonR.andtribs.","2015",358.776048422856,0.128993897
"32","NorthernYukonR.andtribs.","2016",1433.38605948678,0.133122712
"33","NorthernYukonR.andtribs.","2017",2569.95312151649,0.158203776
"34","NorthernYukonR.andtribs.","2018",1921.26008895958,0.132341508
"35","NorthernYukonR.andtribs.","2019",2359.07079432564,0.128571558
"36","NorthernYukonR.andtribs.","2020",3805.30231807785,0.155626621
"37","NorthernYukonR.andtribs.","2021",156.189688054146,0.126471837
"38","NorthernYukonR.andtribs.","2022",55.9031962664793,0.143508469
"39","NorthernYukonR.andtribs.","2023",171.465647172424,0.141114649
"40","NorthernYukonR.andtribs.","2024",114.211914605104,0.141114649
"41","NorthernYukonR.andtribs.","2025",47.2847799962452,0.141114649
"42","Whiteandtribs.","1985",6798.26156894453,0.140912364
"43","Whiteandtribs.","1986",10216.4739412497,0.131097544
"44","Whiteandtribs.","1987",11474.2668388925,0.134475578
"45","Whiteandtribs.","1988",4033.7107697578,0.127990569
"46","Whiteandtribs.","1989",4284.35483841619,0.128515546
"47","Whiteandtribs.","1990",1922.50280661877,0.135257381
"48","Whiteandtribs.","1991",1723.70052138988,0.128439122
"49","Whiteandtribs.","1992",9836.74283107244,0.143929542
"50","Whiteandtribs.","1993",19315.4052291446,0.136226665
"51","Whiteandtribs.","1994",13390.1269118412,0.130780246
"52","Whiteandtribs.","1995",8611.34631424422,0.139701013
"53","Whiteandtribs.","1996",16463.9353913931,0.130230535
"54","Whiteandtribs.","1997",6675.0125088702,0.142866215
"55","Whiteandtribs.","1998",4728.87707373899,0.142760007
"56","Whiteandtribs.","1999",6208.46050695714,0.130481325
"57","Whiteandtribs.","2000",4450.71906604109,0.136242213
"58","Whiteandtribs.","2001",2392.00343610889,0.143071125
"59","Whiteandtribs.","2002",2810.27387570419,0.128987366
"60","Whiteandtribs.","2003",4166.60336452967,0.123107603
"61","Whiteandtribs.","2004",4313.53790544661,0.128508529
"62","Whiteandtribs.","2005",12527.4373653989,0.117971239
"63","Whiteandtribs.","2006",3339.11821067089,0.129842566
"64","Whiteandtribs.","2007",14960.3151956996,0.131906287
"65","Whiteandtribs.","2008",2072.93185662644,0.125255227
"66","Whiteandtribs.","2009",1112.66615430785,0.126748405
"67","Whiteandtribs.","2010",943.606996627457,0.137307023
"68","Whiteandtribs.","2011",1181.55232514274,0.125075681
"69","Whiteandtribs.","2012",2032.47831798494,0.13842444
"70","Whiteandtribs.","2013",59.0142349995974,0.156086008
"71","Whiteandtribs.","2014",121.328483037002,0.169597727
"72","Whiteandtribs.","2015",378.118216218317,0.128993897
"73","Whiteandtribs.","2016",545.227340789062,0.133122712
"74","Whiteandtribs.","2017",1457.65343186535,0.158203776
"75","Whiteandtribs.","2018",1108.92949555347,0.132341508
"76","Whiteandtribs.","2019",2505.57274739854,0.128571558
"77","Whiteandtribs.","2020",1146.36933321748,0.155626621
"78","Whiteandtribs.","2021",69.6842625630692,0.126471837
"79","Whiteandtribs.","2022",8.36355481442367,0.143508469
"80","Whiteandtribs.","2023",84.1642275268427,0.141114649
"81","Whiteandtribs.","2024",39.7292033760455,0.141114649
"82","Whiteandtribs.","2025",44.043270933988,0.141114649
"83","Pelly","1985",23770.6223048334,0.140912364
"84","Pelly","1986",26815.0458461256,0.131097544
"85","Pelly","1987",51332.298383359,0.134475578
"86","Pelly","1988",16302.7717117954,0.127990569
"87","Pelly","1989",31990.3771092284,0.128515546
"88","Pelly","1990",34971.4716755961,0.135257381
"89","Pelly","1991",20501.5211576587,0.128439122
"90","Pelly","1992",33073.2710029711,0.143929542
"91","Pelly","1993",16662.3728264307,0.136226665
"92","Pelly","1994",22285.6619151486,0.130780246
"93","Pelly","1995",17707.2671505204,0.139701013
"94","Pelly","1996",15693.8680732951,0.130230535
"95","Pelly","1997",13804.1128695022,0.142866215
"96","Pelly","1998",7461.04777951156,0.142760007
"97","Pelly","1999",10960.5896270455,0.130481325
"98","Pelly","2000",8171.72816657749,0.136242213
"99","Pelly","2001",5557.93732063143,0.143071125
"100","Pelly","2002",6137.48256221858,0.128987366
"101","Pelly","2003",18423.4441798272,0.123107603
"102","Pelly","2004",13821.5617627367,0.128508529
"103","Pelly","2005",10277.6224276334,0.117971239
"104","Pelly","2006",5538.66401488725,0.129842566
"105","Pelly","2007",12016.474817571,0.131906287
"106","Pelly","2008",4276.42530902738,0.125255227
"107","Pelly","2009",5382.19179902333,0.126748405
"108","Pelly","2010",8906.53684421,0.137307023
"109","Pelly","2011",4295.06572566121,0.125075681
"110","Pelly","2012",4687.14200910595,0.13842444
"111","Pelly","2013",4127.49420912088,0.156086008
"112","Pelly","2014",190.744856518495,0.169597727
"113","Pelly","2015",1105.11979008203,0.128993897
"114","Pelly","2016",2834.31901710389,0.133122712
"115","Pelly","2017",3766.14927878939,0.158203776
"116","Pelly","2018",2957.61286227893,0.132341508
"117","Pelly","2019",4709.69990740123,0.128571558
"118","Pelly","2020",3982.91728523769,0.155626621
"119","Pelly","2021",315.738405773622,0.126471837
"120","Pelly","2022",103.933114143681,0.143508469
"121","Pelly","2023",161.738015885781,0.141114649
"122","Pelly","2024",94.3851085376488,0.141114649
"123","Pelly","2025",94.6567911732172,0.141114649
"124","Stewart","1985",18637.537910517,0.140912364
"125","Stewart","1986",14919.1289123163,0.131097544
"126","Stewart","1987",14611.4223260799,0.134475578
"127","Stewart","1988",6898.70651652692,0.127990569
"128","Stewart","1989",7457.68546758215,0.128515546
"129","Stewart","1990",5994.10292150221,0.135257381
"130","Stewart","1991",8785.12981335369,0.128439122
"131","Stewart","1992",9515.48822734253,0.143929542
"132","Stewart","1993",4265.81498972296,0.136226665
"133","Stewart","1994",11939.5664884345,0.130780246
"134","Stewart","1995",16112.1851114724,0.139701013
"135","Stewart","1996",7285.95292527063,0.130230535
"136","Stewart","1997",8313.0734087327,0.142866215
"137","Stewart","1998",4950.38337144124,0.142760007
"138","Stewart","1999",4446.5498534955,0.130481325
"139","Stewart","2000",2644.47854573929,0.136242213
"140","Stewart","2001",2683.72170598911,0.143071125
"141","Stewart","2002",4276.15537092767,0.128987366
"142","Stewart","2003",3010.48127869048,0.123107603
"143","Stewart","2004",4420.72728094333,0.128508529
"144","Stewart","2005",2316.07716601117,0.117971239
"145","Stewart","2006",7368.42873176794,0.129842566
"146","Stewart","2007",4435.68400889633,0.131906287
"147","Stewart","2008",2134.46439764092,0.125255227
"148","Stewart","2009",1876.34825305996,0.126748405
"149","Stewart","2010",1529.45878455563,0.137307023
"150","Stewart","2011",4721.12585626152,0.125075681
"151","Stewart","2012",609.952095803296,0.13842444
"152","Stewart","2013",1211.76918281112,0.156086008
"153","Stewart","2014",114.381702619587,0.169597727
"154","Stewart","2015",387.302694438559,0.128993897
"155","Stewart","2016",1324.15823626404,0.133122712
"156","Stewart","2017",1515.91721639499,0.158203776
"157","Stewart","2018",1243.77367391229,0.132341508
"158","Stewart","2019",3912.69263674101,0.128571558
"159","Stewart","2020",1348.32870915764,0.155626621
"160","Stewart","2021",177.644449281249,0.126471837
"161","Stewart","2022",261.058148331581,0.143508469
"162","Stewart","2023",58.9306735100174,0.141114649
"163","Stewart","2024",138.097317626709,0.141114649
"164","Stewart","2025",92.4525627952129,0.141114649
"165","Nordenskiold","1985",9391.42713880122,0.140912364
"166","Nordenskiold","1986",2928.83393280044,0.131097544
"167","Nordenskiold","1987",2410.78849945758,0.134475578
"168","Nordenskiold","1988",2447.81807960408,0.127990569
"169","Nordenskiold","1989",1088.40648438594,0.128515546
"170","Nordenskiold","1990",597.717077172293,0.135257381
"171","Nordenskiold","1991",961.495075794485,0.128439122
"172","Nordenskiold","1992",1439.60984044758,0.143929542
"173","Nordenskiold","1993",1998.58441204072,0.136226665
"174","Nordenskiold","1994",5596.09483345615,0.130780246
"175","Nordenskiold","1995",9168.57409845183,0.139701013
"176","Nordenskiold","1996",5907.51557756383,0.130230535
"177","Nordenskiold","1997",1567.38595764118,0.142866215
"178","Nordenskiold","1998",4256.32814151436,0.142760007
"179","Nordenskiold","1999",3128.73007642662,0.130481325
"180","Nordenskiold","2000",2482.81549687562,0.136242213
"181","Nordenskiold","2001",380.441797806184,0.143071125
"182","Nordenskiold","2002",1171.69194033776,0.128987366
"183","Nordenskiold","2003",1211.9887427081,0.123107603
"184","Nordenskiold","2004",3039.44432808778,0.128508529
"185","Nordenskiold","2005",1052.52396075734,0.117971239
"186","Nordenskiold","2006",3729.39534490448,0.129842566
"187","Nordenskiold","2007",3048.54392362233,0.131906287
"188","Nordenskiold","2008",704.872294597958,0.125255227
"189","Nordenskiold","2009",662.239858064625,0.126748405
"190","Nordenskiold","2010",2140.81233148328,0.137307023
"191","Nordenskiold","2011",314.313650706658,0.125075681
"192","Nordenskiold","2012",291.798748512017,0.13842444
"193","Nordenskiold","2013",896.559352943273,0.156086008
"194","Nordenskiold","2014",20.5203882456572,0.169597727
"195","Nordenskiold","2015",95.5419853068262,0.128993897
"196","Nordenskiold","2016",1021.20356332049,0.133122712
"197","Nordenskiold","2017",1488.15633619429,0.158203776
"198","Nordenskiold","2018",239.491080932324,0.132341508
"199","Nordenskiold","2019",695.610163550699,0.128571558
"200","Nordenskiold","2020",1348.16652619075,0.155626621
"201","Nordenskiold","2021",72.8794038822719,0.126471837
"202","Nordenskiold","2022",73.4800884847883,0.143508469
"203","Nordenskiold","2023",129.596135345191,0.141114649
"204","Nordenskiold","2024",70.9592079191949,0.141114649
"205","Nordenskiold","2025",52.833616414065,0.141114649
